Ticker,Name,Price,Collection
F,Ford Motor Company,5.62,100-most-popular
GE,General Electric Company,6.38,100-most-popular
DIS,The Walt Disney Company,118.02,100-most-popular
AAL,American Airlines Group Inc. Common Stock,9.73,100-most-popular
DAL,"Delta Air Lines, Inc.",22.55,100-most-popular
ACB,Aurora Cannabis Inc. Common Shares,15.84,100-most-popular
GPRO,"GoPro, Inc. Class A Common Stock",4.19,100-most-popular
CCL,Carnival Corporation,14.47,100-most-popular
MSFT,Microsoft Corporation Common Stock,183.55,100-most-popular
AAPL,Apple Inc. Common Stock,319.0,100-most-popular
FIT,"Fitbit, Inc. Class A common stock",6.45,100-most-popular
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,13.97,100-most-popular
BAC,Bank of America Corporation,22.67,100-most-popular
PLUG,"Plug Power, Inc. Common Stock",4.12,100-most-popular
SNAP,Snap Inc.,17.69,100-most-popular
BA,Boeing Company,137.26,100-most-popular
UAL,"United Airlines Holdings, Inc. Common Stock",25.44,100-most-popular
INO,"Inovio Pharmaceuticals, Inc. Common Stock",14.05,100-most-popular
CGC,Canopy Growth Corporation Common Shares,19.48,100-most-popular
UBER,"Uber Technologies, Inc.",34.58,100-most-popular
TSLA,"Tesla, Inc. Common Stock",817.14,100-most-popular
RCL,Royal Caribbean Cruises Ltd.,43.15,100-most-popular
CRON,Cronos Group Inc. Common Share,6.54,100-most-popular
AMD,"Advanced Micro Devices, Inc. Common Stock",55.17,100-most-popular
TWTR,"Twitter, Inc.",32.65,100-most-popular
FB,"Facebook, Inc. Class A Common Stock",234.88,100-most-popular
GRPN,"Groupon, Inc. Common Stock",1.22,100-most-popular
MRNA,"Moderna, Inc. Common Stock",68.29,100-most-popular
BABA,"American Depositary Shares, each represents eight Ordinary Shares",199.22,100-most-popular
SBUX,Starbucks Corporation Common Stock,77.67,100-most-popular
MRO,Marathon Oil Corporation,5.91,100-most-popular
ZNGA,Zynga Inc. Class A Common Stock,8.43,100-most-popular
T,AT&T Inc.,29.91,100-most-popular
AMZN,"Amazon.com, Inc. Common Stock",2435.5,100-most-popular
KO,Coca-Cola Company,45.11,100-most-popular
APHA,Aphria Inc. Common Shares,4.0,100-most-popular
USO,"United States Oil Fund, LP",25.15,100-most-popular
SAVE,"Spirit Airlines, Inc.",10.23,100-most-popular
LUV,Southwest Airlines Co.,28.88,100-most-popular
XOM,Exxon Mobil Corporation,44.62,100-most-popular
JBLU,JetBlue Airways Corporation Common Stock,9.22,100-most-popular
MFA,"MFA Financial, Inc",1.65,100-most-popular
MGM,MGM RESORTS INTERNATIONAL,16.02,100-most-popular
GM,General Motors Company,25.97,100-most-popular
NIO,"NIO Inc. American depositary shares, each representing one Class A ordinary share",3.25,100-most-popular
UCO,ProShares Ultra Bloomberg Crude Oil,22.82,100-most-popular
AMC,"AMC ENTERTAINMENT HOLDINGS, INC.",4.6,100-most-popular
NFLX,"Netflix, Inc. Common Stock",428.6,100-most-popular
PENN,"Penn National Gaming, Inc. Common Stock",30.56,100-most-popular
SPCE,"Virgin Galactic Holdings, Inc.",15.85,100-most-popular
NRZ,NEW RESIDENTIAL INVESTMENT CORP,6.97,100-most-popular
TLRY,"Tilray, Inc. Class 2 Common Stock",10.0,100-most-popular
NVDA,NVIDIA Corporation Common Stock,360.44,100-most-popular
VOO,Vanguard S&P 500 ETF,272.08,100-most-popular
VSLR,"VIVINT SOLAR, INC.",6.9,100-most-popular
NOK,Nokia Corporation,3.87,100-most-popular
GILD,"Gilead Sciences, Inc. Common Stock",73.75,100-most-popular
GUSH,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,37.01,100-most-popular
CPRX,"Catalyst Pharmaceuticals, Inc. Common Stock",4.42,100-most-popular
LYFT,"Lyft, Inc. Class A Common Stock",31.2,100-most-popular
HAL,Halliburton Company,11.59,100-most-popular
SPY,SPDR S&P 500 ETF Trust,295.58,100-most-popular
V,VISA Inc.,190.86,100-most-popular
NKE,"Nike, Inc.",93.75,100-most-popular
SRNE,"Sorrento Therapeutics, Inc.  Common Stock",5.18,100-most-popular
SIRI,Sirius XM Holdings Inc. Common Stock,5.28,100-most-popular
SQ,"Square, Inc.",81.6,100-most-popular
WORK,"Slack Technologies, Inc.",31.71,100-most-popular
PFE,Pfizer Inc.,37.6,100-most-popular
KOS,Kosmos Energy Ltd.,1.91,100-most-popular
OXY,Occidental Petroleum Corporation,14.12,100-most-popular
BYND,"Beyond Meat, Inc. Common Stock",136.8,100-most-popular
VTIQ,VectoIQ Acquisition Corp. Common Stock,26.0,100-most-popular
JPM,JPMorgan Chase & Co.,89.55,100-most-popular
IVR,Invesco Mortgage Capital Inc.,2.8,100-most-popular
ET,Energy Transfer LP Common Units representing limited partner interests,8.22,100-most-popular
WFC,Wells Fargo & Co.,24.23,100-most-popular
CRBP,"Corbus Pharmaceuticals Holdings, Inc. Common Stock",8.06,100-most-popular
PLAY,"Dave & Buster's Entertainment, Inc. Common Stock",12.18,100-most-popular
ERI,"Eldorado Resorts, Inc. Common Stock",33.61,100-most-popular
NYMT,"New York Mortgage Trust, Inc. Common Stock",1.99,100-most-popular
SPHD,Invesco S&P 500 High Dividend Low Volatility ETF,31.78,100-most-popular
VKTX,"Viking Therapeutics, Inc. Common Stock",7.98,100-most-popular
BP,BP p.l.c.,23.02,100-most-popular
TXMD,"TherapeuticsMD, Inc. Common Stock",1.27,100-most-popular
NTDOY,Nintendo Co Ltd ADR,52.13,100-most-popular
WMT,Walmart Inc.,124.3,100-most-popular
GOOGL,Alphabet Inc. Class A Common Stock,1413.24,100-most-popular
ZM,"Zoom Video Communications, Inc. Class A Common Stock",171.88,100-most-popular
FCEL,"FuelCell Energy, Inc. Common Stock",1.99,100-most-popular
PTON,"Peloton Interactive, Inc. Class A Common Stock",45.85,100-most-popular
DKNG,DraftKings Inc. Class A Common Stock,29.46,100-most-popular
ATVI,"Activision Blizzard, Inc. Common Stock",73.11,100-most-popular
SNE,Sony Corporation ADS,63.24,100-most-popular
CSCO,"Cisco Systems, Inc. Common Stock",44.9,100-most-popular
INTC,Intel Corporation Common Stock,62.25,100-most-popular
AUY,"Yamana Gold, Inc.",5.24,100-most-popular
VTI,Vanguard Total Stock Market ETF,149.26,100-most-popular
GLUU,Glu Mobile Inc. Common Stock,9.43,100-most-popular
