Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,11.15,11.35,10.72,11.06,11.06,58260383
2020-04-17,11.87,11.95,11.5,11.57,11.57,61045600
2020-04-16,11.91,12.03,11.05,11.07,11.07,80873400
2020-04-15,12.52,12.69,11.39,12.29,12.29,124719900
2020-04-14,12.22,12.6,11.75,11.95,11.95,68039500
2020-04-13,12.9,12.95,11.25,11.56,11.56,73385500
2020-04-09,12.64,13.4,11.82,12.51,12.51,117592800
2020-04-08,10.91,11.4,10.5,11.33,11.33,82718700
2020-04-07,11.07,12.2,10.05,10.22,10.22,138061000
2020-04-06,9.72,9.94,9.11,9.5,9.5,94272300
2020-04-03,10.34,10.49,9.09,9.39,9.39,87018900
2020-04-02,10.61,11.03,10.0,10.06,10.06,65534600
2020-04-01,11.45,11.48,10.5,10.69,10.69,56854400
2020-03-31,12.9,12.96,12.1,12.19,12.19,44851400
2020-03-30,13.2,13.22,11.81,12.25,12.25,50516800
2020-03-27,14.98,15.22,13.91,14.04,14.04,50783500
2020-03-26,16.06,17.24,15.16,15.66,15.66,77530600
2020-03-25,16.69,16.99,14.31,15.39,15.39,93795100
2020-03-24,11.96,14.81,11.54,13.92,13.92,101553100
2020-03-23,10.9,11.36,10.01,10.25,10.25,56427300
2020-03-20,10.65,12.0,10.3,10.38,10.38,62681800
2020-03-19,11.6,12.16,10.01,10.29,10.29,71584500
2020-03-18,14.24,14.28,10.17,11.65,11.65,78458800
2020-03-17,15.79,18.49,14.79,15.58,15.58,58055800
2020-03-16,12.41,16.2,12.0,15.92,15.92,84916800
2020-03-13,15.3,15.6,13.12,14.31,14.31,58376100
2020-03-12,14.05,15.75,13.33,13.45,13.45,53968500
2020-03-11,16.31,16.49,15.52,16.26,16.26,43705800
2020-03-10,15.82,17.67,14.61,17.0,17.0,56972700
2020-03-09,14.87,15.79,14.46,14.75,14.75,42558000
2020-03-06,15.02,17.12,14.8,15.97,15.97,54505000
2020-03-05,17.54,17.65,15.98,16.04,16.04,44656800
2020-03-04,18.36,18.55,17.3,18.53,18.53,44362100
2020-03-03,19.66,19.79,17.8,17.85,17.85,35402500
2020-03-02,19.05,19.06,17.51,18.86,18.86,38738000
2020-02-28,19.8,20.35,18.77,19.05,19.05,37166400
2020-02-27,20.85,22.48,19.77,20.6,20.6,31897300
2020-02-26,23.57,23.75,22.11,22.31,22.31,19610300
2020-02-25,25.62,25.75,23.05,23.12,23.12,22296900
2020-02-24,25.98,26.11,25.0,25.45,25.45,21713200
2020-02-21,28.12,28.3,27.17,27.82,27.82,11253600
2020-02-20,28.24,28.9,28.2,28.51,28.51,10093400
2020-02-19,28.84,28.88,28.31,28.33,28.33,8400700
2020-02-18,29.04,29.35,28.49,28.63,28.63,10485100
2020-02-14,30.01,30.27,29.14,29.2,29.2,5524800
2020-02-13,30.03,30.4,29.73,30.09,30.09,9119400
2020-02-12,30.0,30.78,29.99,30.47,30.47,9315400
2020-02-11,29.06,29.94,28.97,29.84,29.84,8977700
2020-02-10,28.19,28.81,27.98,28.79,28.79,15134300
2020-02-07,28.06,28.55,27.78,28.38,28.38,6231800
2020-02-06,29.26,29.45,28.14,28.3,28.3,8335800
2020-02-05,28.96,29.24,28.55,29.1,29.1,8959700
2020-02-04,27.68,28.61,27.55,28.43,28.43,10832900
2020-02-03,26.93,27.67,26.74,27.16,27.06,7631900
2020-01-31,27.5,27.52,26.59,26.84,26.74,11027900
2020-01-30,26.3,27.79,26.26,27.72,27.62,10685500
2020-01-29,26.88,27.49,26.74,26.8,26.7,9088700
2020-01-28,26.36,27.12,26.26,26.9,26.8,11939200
2020-01-27,26.57,26.6,25.37,26.11,26.01,21573800
2020-01-24,28.85,28.86,27.01,27.64,27.54,18067800
2020-01-23,27.39,28.99,26.04,28.8,28.69,25611100
2020-01-22,27.51,27.91,27.3,27.32,27.22,9852600
2020-01-21,27.97,27.99,27.05,27.2,27.1,16409400
2020-01-17,28.3,28.72,28.06,28.4,28.3,7379400
2020-01-16,27.79,28.26,27.76,28.23,28.13,6442800
2020-01-15,27.45,28.06,27.32,27.58,27.48,5689900
2020-01-14,27.91,28.4,27.35,27.53,27.43,8888900
2020-01-13,27.32,27.53,27.16,27.39,27.29,5874400
2020-01-10,27.96,27.99,27.25,27.32,27.22,8106800
2020-01-09,28.09,28.23,27.71,27.95,27.85,6898900
2020-01-08,27.1,28.09,27.07,27.84,27.74,10496800
2020-01-07,27.56,27.68,27.06,27.22,27.12,6105900
2020-01-06,27.19,27.49,27.08,27.32,27.22,6105800
2020-01-03,28.27,28.29,27.34,27.65,27.55,14008900
2020-01-02,28.98,29.3,28.65,29.09,28.98,6451100
2019-12-31,28.2,28.79,28.19,28.68,28.57,4396800
2019-12-30,28.5,28.53,28.07,28.3,28.2,4940300
2019-12-27,29.76,29.81,28.36,28.44,28.34,8416500
2019-12-26,29.32,29.71,29.26,29.67,29.56,4746500
2019-12-24,29.32,29.43,29.1,29.18,29.07,2373600
2019-12-23,29.25,29.72,29.2,29.3,29.19,9291100
2019-12-20,28.67,29.05,28.49,29.04,28.93,12277100
2019-12-19,28.0,28.57,27.93,28.55,28.44,6295100
2019-12-18,28.35,28.57,27.93,28.0,27.9,4633800
2019-12-17,27.97,28.48,27.86,28.28,28.18,5920300
2019-12-16,27.62,28.35,27.6,27.92,27.82,6997300
2019-12-13,27.93,28.13,27.37,27.48,27.38,5965200
2019-12-12,27.09,28.02,26.95,27.72,27.62,9645300
2019-12-11,27.08,27.1,26.68,26.86,26.76,5434600
2019-12-10,27.55,27.63,26.9,27.0,26.9,7538700
2019-12-09,27.62,27.83,27.46,27.49,27.39,4474400
2019-12-06,27.5,27.96,27.47,27.73,27.63,6093100
2019-12-05,27.46,27.57,27.05,27.24,27.14,4994500
2019-12-04,27.42,27.76,27.22,27.38,27.28,4805300
2019-12-03,27.73,27.77,26.96,27.29,27.19,7736600
2019-12-02,28.79,28.99,28.01,28.08,27.98,6850800
2019-11-29,28.92,29.27,28.66,28.74,28.63,2970800
2019-11-27,29.07,29.33,28.74,28.95,28.84,3381800
2019-11-26,28.95,29.07,28.57,29.05,28.94,5932800
2019-11-25,28.8,29.18,28.62,28.99,28.88,5171200
