Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,28.94,29.96,28.16,29.23,29.23,1714396
2020-04-17,29.69,30.28,29.31,29.93,29.93,2489400
2020-04-16,29.24,29.45,27.51,28.26,28.26,3229600
2020-04-15,32.24,32.42,29.0,30.08,30.08,4253000
2020-04-14,30.58,31.92,30.42,31.05,31.05,2789900
2020-04-13,32.63,32.86,28.61,29.51,29.51,3181800
2020-04-09,31.24,33.6,30.39,31.61,31.61,4210900
2020-04-08,30.2,30.32,28.95,29.14,29.14,2940100
2020-04-07,29.34,31.77,28.54,29.03,29.03,3766500
2020-04-06,26.04,27.27,24.92,26.67,26.67,3724700
2020-04-03,25.16,25.65,23.58,24.69,24.69,2707500
2020-04-02,26.14,27.02,24.28,24.66,24.66,3065200
2020-04-01,26.92,27.55,25.25,26.35,26.35,3350000
2020-03-31,28.96,30.71,28.13,28.47,28.47,2667000
2020-03-30,29.13,29.95,26.55,28.33,28.33,2841700
2020-03-27,31.73,31.9,29.78,29.87,29.87,3546900
2020-03-26,31.91,33.37,30.02,32.49,32.49,4914800
2020-03-25,33.56,34.25,28.36,29.84,29.84,7739400
2020-03-24,29.44,31.26,27.38,28.91,28.91,4750600
2020-03-23,24.0,24.98,22.15,24.03,24.03,3694600
2020-03-20,25.71,27.97,23.34,23.56,23.56,4062500
2020-03-19,24.7,25.99,22.01,24.18,24.18,2901100
2020-03-18,29.53,30.04,20.02,25.13,25.13,5067400
2020-03-17,33.06,36.2,31.28,32.53,32.53,3707600
2020-03-16,32.02,34.4,28.92,32.53,32.53,4456900
2020-03-13,38.1,38.1,33.0,37.95,37.95,3947800
2020-03-12,40.11,43.4,35.01,35.08,35.08,4731500
2020-03-11,45.1,46.04,43.37,45.7,45.7,3184800
2020-03-10,45.31,47.69,43.37,46.78,46.78,3140000
2020-03-09,43.16,45.19,42.14,43.19,43.19,3413800
2020-03-06,41.5,48.4,41.4,45.21,45.21,5041700
2020-03-05,47.66,47.66,43.36,43.46,43.46,3859200
2020-03-04,48.19,49.71,46.57,49.69,49.69,3480600
2020-03-03,50.47,50.47,46.3,47.37,47.37,3415200
2020-03-02,50.85,51.3,48.38,50.03,50.03,3075000
2020-02-28,51.09,52.01,49.45,50.46,50.46,3535300
2020-02-27,54.79,56.68,52.91,52.96,52.96,2704600
2020-02-26,59.37,59.66,57.2,57.37,57.37,1813900
2020-02-25,63.17,63.21,58.66,58.81,58.81,1685800
2020-02-24,63.48,63.83,62.2,63.01,63.01,1285400
2020-02-21,64.91,65.53,63.95,65.43,65.43,926500
2020-02-20,64.9,65.97,64.9,65.36,65.36,786900
2020-02-19,65.61,65.81,64.76,65.17,65.17,863800
2020-02-18,65.94,66.31,65.4,65.49,65.49,1265900
2020-02-14,66.32,66.96,65.46,66.11,66.11,1006300
2020-02-13,65.17,66.77,65.14,66.5,66.12,1538600
2020-02-12,65.1,66.15,64.81,65.54,65.17,932600
2020-02-11,64.47,65.28,64.43,64.55,64.19,788300
2020-02-10,63.54,64.48,63.44,64.43,64.07,812900
2020-02-07,63.9,64.21,63.28,63.96,63.6,1338900
2020-02-06,66.84,66.84,63.84,64.02,63.66,1531100
2020-02-05,66.71,66.8,65.94,66.33,65.96,1332200
2020-02-04,65.59,66.4,65.43,65.77,65.4,1513900
2020-02-03,65.13,65.66,64.3,64.65,64.29,1696900
2020-01-31,65.61,65.62,64.17,64.59,64.23,1581600
2020-01-30,65.87,66.07,65.03,66.01,65.64,2127200
2020-01-29,65.75,67.48,65.58,66.89,66.51,2466200
2020-01-28,65.87,66.64,65.13,65.54,65.17,2214700
2020-01-27,64.88,65.62,64.2,65.34,64.97,1778300
2020-01-24,67.28,67.36,65.59,66.72,66.34,1127200
2020-01-23,65.0,67.3,64.44,67.18,66.8,1409800
2020-01-22,65.44,66.28,65.3,65.59,65.22,1398000
2020-01-21,66.04,66.42,64.18,64.99,64.62,1636300
2020-01-17,66.84,67.11,66.04,66.62,66.24,943900
2020-01-16,67.0,67.43,65.85,66.54,66.16,966200
2020-01-15,66.01,67.06,65.96,66.59,66.21,782300
2020-01-14,66.76,67.45,66.02,66.18,65.81,994700
2020-01-13,65.84,66.19,65.64,65.87,65.5,629500
2020-01-10,66.6,66.7,65.82,65.89,65.52,1007600
2020-01-09,67.02,67.02,66.2,66.37,66.0,1140400
2020-01-08,66.03,67.59,66.02,66.5,66.12,1438500
2020-01-07,66.56,66.82,66.06,66.18,65.81,1041500
2020-01-06,66.09,66.89,66.02,66.6,66.22,1342700
2020-01-03,66.8,67.11,66.02,66.92,66.54,1404600
2020-01-02,68.15,68.79,67.62,68.17,67.79,1396600
2019-12-31,67.56,68.16,67.56,67.75,67.37,735300
2019-12-30,68.17,68.3,67.33,67.68,67.3,861800
2019-12-27,69.24,69.3,68.12,68.29,67.9,1011800
2019-12-26,69.18,69.59,68.75,69.07,68.68,519600
2019-12-24,69.58,69.58,68.78,69.09,68.7,360800
2019-12-23,69.63,69.63,68.93,69.29,68.9,1099200
2019-12-20,69.62,69.62,69.0,69.34,68.95,1401900
2019-12-19,69.01,69.28,68.66,69.2,68.81,1106000
2019-12-18,70.41,70.41,68.54,69.03,68.64,1807200
2019-12-17,68.94,70.25,68.73,70.06,69.66,1545300
2019-12-16,67.81,69.14,67.81,69.0,68.61,1220300
2019-12-13,67.44,67.66,66.29,67.41,67.03,1120700
2019-12-12,67.42,68.47,67.17,67.69,67.31,1553800
2019-12-11,67.33,67.57,66.6,66.74,66.36,854000
2019-12-10,67.31,67.98,66.85,67.24,66.86,744700
2019-12-09,68.03,68.24,67.86,67.99,67.61,860100
2019-12-06,67.87,68.47,67.37,68.32,67.93,834800
2019-12-05,67.05,67.64,67.05,67.29,66.91,560800
2019-12-04,66.83,68.0,66.75,66.92,66.54,776200
2019-12-03,67.49,67.49,66.58,66.61,66.23,1078100
2019-12-02,69.17,69.7,68.06,68.11,67.73,904700
2019-11-29,69.21,69.73,68.86,69.01,68.62,270600
2019-11-27,69.5,69.78,68.74,69.17,68.78,635300
2019-11-26,68.71,69.49,68.61,69.44,69.05,564100
2019-11-25,68.8,69.3,68.68,68.79,68.4,493200
2019-11-22,68.3,68.83,68.08,68.76,68.37,613100
2019-11-21,68.45,68.85,67.96,68.0,67.62,688300
2019-11-20,69.43,69.54,67.94,68.44,68.05,789000
2019-11-19,70.13,70.46,69.5,70.07,69.67,561300
2019-11-18,70.35,70.35,69.71,70.06,69.66,432400
2019-11-15,70.94,70.95,70.18,70.38,69.64,468800
