Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,6.02,6.15,5.64,5.83,5.83,76971
2020-04-17,6.27,6.28,5.98,6.05,6.05,130200
2020-04-16,6.17,6.23,5.93,6.14,6.14,124900
2020-04-15,6.03,6.36,5.79,6.14,6.14,152800
2020-04-14,6.34,6.39,6.07,6.14,6.14,110900
2020-04-13,6.07,6.33,5.9,6.25,6.25,55800
2020-04-09,5.63,6.28,5.58,6.06,6.06,140700
2020-04-08,5.3,5.62,5.28,5.6,5.6,91700
2020-04-07,5.18,5.41,5.11,5.27,5.27,101500
2020-04-06,5.29,5.82,4.88,5.07,5.07,155900
2020-04-03,5.43,5.6,5.1,5.18,5.18,100400
2020-04-02,5.63,5.7,5.18,5.43,5.43,91800
2020-04-01,5.71,5.76,5.55,5.63,5.63,64500
2020-03-31,5.95,5.96,5.66,5.96,5.96,118900
2020-03-30,6.02,6.1,5.72,5.95,5.95,155700
2020-03-27,5.82,6.07,5.63,5.95,5.95,171700
2020-03-26,5.96,6.05,5.65,6.0,6.0,174400
2020-03-25,6.28,6.28,5.86,5.93,5.93,242300
2020-03-24,6.23,6.35,5.94,6.23,6.23,148600
2020-03-23,6.04,6.34,5.58,6.13,6.13,201200
2020-03-20,6.02,6.26,5.76,5.94,5.94,193100
2020-03-19,5.4,6.0,5.29,5.9,5.9,101100
2020-03-18,5.68,5.68,4.96,5.2,5.2,92900
2020-03-17,5.36,6.38,5.24,5.96,5.96,106400
2020-03-16,4.3,6.09,4.3,5.26,5.26,193400
2020-03-13,5.37,6.72,5.37,6.62,6.62,188100
2020-03-12,5.53,5.73,5.11,5.38,5.38,161000
2020-03-11,6.07,6.2,5.8,6.03,6.03,150000
2020-03-10,6.4,6.6,5.74,6.16,6.16,142000
2020-03-09,6.87,6.87,6.15,6.19,6.19,78600
2020-03-06,7.09,7.31,7.01,7.26,7.26,77700
2020-03-05,7.73,7.79,7.28,7.31,7.31,56600
2020-03-04,7.89,7.94,7.53,7.82,7.82,108400
2020-03-03,8.22,8.31,7.62,7.78,7.78,88600
2020-03-02,8.45,8.45,7.99,8.25,8.25,124300
2020-02-28,8.12,8.57,8.1,8.43,8.43,164500
2020-02-27,8.41,8.68,8.18,8.41,8.41,113700
2020-02-26,8.55,8.8,8.42,8.59,8.59,171400
2020-02-25,9.02,9.02,8.41,8.63,8.63,108900
2020-02-24,8.8,9.0,8.65,8.96,8.96,68300
2020-02-21,9.09,9.09,8.84,9.01,9.01,51900
2020-02-20,8.95,9.18,8.83,9.08,9.08,103300
2020-02-19,8.64,9.01,8.64,8.95,8.95,64900
2020-02-18,8.59,8.73,8.49,8.64,8.64,53900
2020-02-14,8.83,8.98,8.63,8.66,8.66,41400
2020-02-13,8.85,9.0,8.78,8.84,8.84,37000
2020-02-12,8.75,9.07,8.67,8.92,8.92,109600
2020-02-11,8.42,8.75,8.38,8.72,8.72,87000
2020-02-10,8.4,8.56,8.33,8.39,8.39,60700
2020-02-07,8.33,8.51,8.28,8.45,8.45,57200
2020-02-06,8.46,8.66,8.3,8.4,8.4,71500
2020-02-05,8.4,8.52,8.36,8.46,8.46,88200
2020-02-04,8.33,8.48,8.28,8.34,8.34,108700
2020-02-03,8.43,8.54,8.3,8.43,8.43,88300
2020-01-31,8.52,8.52,8.23,8.43,8.43,79300
2020-01-30,8.49,8.6,8.42,8.52,8.52,53100
2020-01-29,8.77,8.8,8.51,8.55,8.55,52200
2020-01-28,8.61,8.75,8.48,8.74,8.74,79300
2020-01-27,8.53,8.73,8.44,8.61,8.61,39800
2020-01-24,9.0,9.02,8.58,8.72,8.72,51200
2020-01-23,9.02,9.07,8.79,8.98,8.98,97700
2020-01-22,8.85,9.08,8.85,9.06,9.06,115100
2020-01-21,8.73,8.97,8.68,8.88,8.88,127200
2020-01-17,8.41,8.81,8.38,8.78,8.78,94700
2020-01-16,8.18,8.46,8.18,8.46,8.46,148900
2020-01-15,8.12,8.42,8.12,8.19,8.19,111700
2020-01-14,8.24,8.24,8.1,8.15,8.15,94600
2020-01-13,8.2,8.28,8.13,8.25,8.25,79700
2020-01-10,8.22,8.27,8.14,8.21,8.21,56500
2020-01-09,8.17,8.25,8.07,8.2,8.2,128200
2020-01-08,8.16,8.19,8.01,8.18,8.18,112700
2020-01-07,8.27,8.27,8.11,8.16,8.16,72300
2020-01-06,8.12,8.29,7.96,8.27,8.27,103800
2020-01-03,8.16,8.34,8.13,8.2,8.2,86200
2020-01-02,8.23,8.34,7.91,8.28,8.28,150300
2019-12-31,7.9,8.2,7.89,8.18,8.18,111700
2019-12-30,8.15,8.15,7.77,7.96,7.96,140600
2019-12-27,8.21,8.21,7.97,8.08,8.08,142400
2019-12-26,8.19,8.25,8.07,8.16,8.16,92600
2019-12-24,8.16,8.24,8.05,8.17,8.17,68700
2019-12-23,8.02,8.24,7.92,8.15,8.15,124800
2019-12-20,8.05,8.09,7.81,8.01,8.01,288700
2019-12-19,8.03,8.15,7.91,8.0,8.0,321300
2019-12-18,8.12,8.26,7.74,8.0,8.0,231400
2019-12-17,8.18,8.18,7.98,8.1,8.1,332700
2019-12-16,8.32,8.44,8.1,8.15,8.15,89900
2019-12-13,8.16,8.5,8.15,8.28,8.28,129000
2019-12-12,8.38,8.43,8.11,8.26,8.26,79200
2019-12-11,8.25,8.37,8.17,8.37,8.37,550000
2019-12-10,8.21,8.33,8.12,8.26,8.26,78200
2019-12-09,8.1,8.35,8.0,8.22,8.22,98700
2019-12-06,8.16,8.18,8.05,8.13,8.13,151700
2019-12-05,8.17,8.17,8.0,8.14,8.14,114000
2019-12-04,8.18,8.2,8.07,8.16,8.16,60400
2019-12-03,8.0,8.18,7.98,8.15,8.15,82300
2019-12-02,8.21,8.23,8.0,8.08,8.08,128400
2019-11-29,8.25,8.25,8.14,8.2,8.2,37700
2019-11-27,8.2,8.26,8.03,8.25,8.25,153400
2019-11-26,8.35,8.44,8.08,8.14,8.14,118200
2019-11-25,8.5,8.52,8.36,8.38,8.38,178500
2019-11-22,8.51,8.61,8.5,8.53,8.53,130900
2019-11-21,8.54,8.65,8.48,8.55,8.55,178700
2019-11-20,8.57,8.68,8.4,8.51,8.51,225900
2019-11-19,8.73,8.85,8.5,8.61,8.61,103900
2019-11-18,8.68,8.92,8.62,8.7,8.7,84200
2019-11-15,8.6,8.65,8.43,8.65,8.65,131700
2019-11-14,8.57,8.64,8.5,8.55,8.55,96000
2019-11-13,8.6,8.74,8.45,8.58,8.58,229200
2019-11-12,8.25,8.83,8.0,8.69,8.69,730200
2019-11-11,9.18,9.42,9.06,9.3,9.3,355900
2019-11-08,8.98,9.24,8.95,9.17,9.17,168700
2019-11-07,9.03,9.32,8.99,9.02,9.02,180400
2019-11-06,9.04,9.08,8.94,9.0,9.0,110700
2019-11-05,9.03,9.12,8.85,9.0,9.0,132800
2019-11-04,9.19,9.3,9.02,9.03,9.03,89900
2019-11-01,9.0,9.2,8.99,9.16,9.16,144600
2019-10-31,9.11,9.15,8.94,9.04,9.04,160400
2019-10-30,9.08,9.14,8.93,9.1,9.1,116300
2019-10-29,9.0,9.1,8.96,9.05,9.05,91100
2019-10-28,8.96,9.1,8.9,9.02,9.02,170300
2019-10-25,8.68,9.07,8.61,9.01,9.01,162000
2019-10-24,8.51,8.75,8.51,8.64,8.64,134500
2019-10-23,8.3,8.61,8.3,8.48,8.48,158400
2019-10-22,8.46,8.48,8.3,8.43,8.43,138200
2019-10-21,8.46,8.59,8.36,8.4,8.4,203000
2019-10-18,8.56,8.6,8.3,8.43,8.43,185500
2019-10-17,8.48,8.63,8.3,8.58,8.58,78900
2019-10-16,8.58,8.69,8.43,8.47,8.47,87100
2019-10-15,8.8,8.97,8.51,8.69,8.69,228700
2019-10-14,8.87,9.0,8.25,8.73,8.73,339900
2019-10-11,8.56,9.33,8.56,8.79,8.79,709300
