Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,4.29,4.51,4.27,4.39,4.39,16142790
2020-04-17,4.18,4.33,4.13,4.26,4.26,27711500
2020-04-16,4.25,4.46,4.2,4.36,4.36,22050600
2020-04-15,4.07,4.27,3.96,4.16,4.16,23135900
2020-04-14,4.28,4.59,4.1,4.19,4.19,33222800
2020-04-13,3.77,4.17,3.56,4.16,4.16,29980600
2020-04-09,3.52,3.74,3.51,3.72,3.72,26944500
2020-04-08,3.37,3.5,3.33,3.38,3.38,17973100
2020-04-07,3.3,3.47,3.18,3.36,3.36,24103400
2020-04-06,3.15,3.34,3.08,3.28,3.28,33724300
2020-04-03,3.06,3.18,3.05,3.08,3.08,20379400
2020-04-02,2.98,3.15,2.97,3.05,3.05,18290700
2020-04-01,2.77,2.95,2.74,2.94,2.94,18982000
2020-03-31,2.77,2.98,2.75,2.75,2.75,20994800
2020-03-30,2.95,3.06,2.73,2.8,2.8,15630400
2020-03-27,3.17,3.26,2.9,2.97,2.96,24370500
2020-03-26,3.35,3.52,3.17,3.26,3.25,28267100
2020-03-25,3.2,3.42,3.02,3.28,3.27,27507100
2020-03-24,3.22,3.27,2.98,3.2,3.19,31718100
2020-03-23,2.74,3.0,2.57,2.8,2.79,41930900
2020-03-20,3.09,3.1,2.55,2.57,2.56,39016000
2020-03-19,2.96,3.4,2.5,2.81,2.8,34045300
2020-03-18,3.33,3.65,2.95,2.95,2.94,26402000
2020-03-17,2.9,3.61,2.9,3.5,3.48,41666100
2020-03-16,2.3,3.18,2.23,2.96,2.95,37532200
2020-03-13,3.25,3.29,2.68,2.71,2.7,35181000
2020-03-12,3.08,3.52,2.92,3.15,3.14,32346000
2020-03-11,4.02,4.02,3.55,3.62,3.6,31614400
2020-03-10,3.95,4.05,3.7,4.02,4.0,38200800
2020-03-09,4.08,4.18,3.85,3.91,3.89,24663200
2020-03-06,4.35,4.38,4.0,4.25,4.23,22735300
2020-03-05,4.31,4.38,4.2,4.35,4.33,21250900
2020-03-04,4.24,4.27,4.08,4.22,4.2,24032300
2020-03-03,4.06,4.37,3.99,4.2,4.18,45372400
2020-03-02,3.99,4.0,3.85,3.98,3.96,20314800
2020-02-28,3.77,3.88,3.56,3.82,3.8,35600700
2020-02-27,4.58,4.58,4.02,4.05,4.03,38384900
2020-02-26,4.39,4.61,4.34,4.47,4.45,22450200
2020-02-25,4.53,4.68,4.4,4.41,4.39,24568700
2020-02-24,4.91,4.94,4.53,4.63,4.61,41597000
2020-02-21,4.55,4.71,4.52,4.66,4.64,23864200
2020-02-20,4.39,4.6,4.39,4.43,4.41,34682100
2020-02-19,4.38,4.42,4.26,4.42,4.4,25082900
2020-02-18,4.18,4.37,4.14,4.37,4.35,32944100
2020-02-14,4.04,4.31,4.0,4.1,4.08,42361700
2020-02-13,3.91,4.05,3.88,4.0,3.98,28454000
2020-02-12,3.91,3.93,3.83,3.85,3.83,15177400
2020-02-11,3.89,3.95,3.85,3.93,3.91,24651100
2020-02-10,3.87,3.95,3.81,3.92,3.9,26685200
2020-02-07,3.99,4.0,3.83,3.84,3.82,23662100
2020-02-06,3.96,4.0,3.91,3.96,3.94,19720900
2020-02-05,3.91,3.96,3.85,3.92,3.9,18971100
2020-02-04,3.91,3.95,3.85,3.92,3.9,22814900
2020-02-03,4.02,4.05,3.96,4.02,4.0,16401000
2020-01-31,3.94,4.13,3.92,4.07,4.05,30905600
2020-01-30,4.0,4.02,3.89,3.92,3.9,23668500
2020-01-29,3.89,4.0,3.86,3.98,3.96,29201800
2020-01-28,4.0,4.07,3.88,3.89,3.87,21402900
2020-01-27,4.16,4.21,4.03,4.08,4.06,29599400
2020-01-24,3.94,4.09,3.94,4.06,4.04,24558200
2020-01-23,3.85,4.1,3.85,3.95,3.93,30659900
2020-01-22,3.85,3.91,3.82,3.88,3.86,16653200
2020-01-21,3.69,3.83,3.65,3.82,3.8,18037000
2020-01-17,3.76,3.76,3.64,3.68,3.66,12086400
2020-01-16,3.79,3.81,3.72,3.73,3.71,10061000
2020-01-15,3.74,3.84,3.72,3.82,3.8,18022100
2020-01-14,3.57,3.69,3.54,3.68,3.66,10292800
2020-01-13,3.7,3.7,3.59,3.59,3.57,12478800
2020-01-10,3.67,3.81,3.66,3.72,3.7,16363000
2020-01-09,3.68,3.75,3.65,3.65,3.63,19259700
2020-01-08,3.94,3.95,3.71,3.71,3.69,32056000
2020-01-07,3.85,3.96,3.82,3.93,3.91,23009300
2020-01-06,4.0,4.0,3.83,3.87,3.85,17984900
2020-01-03,4.04,4.04,3.85,3.88,3.86,16458900
2020-01-02,4.01,4.03,3.89,3.91,3.89,16351000
2019-12-31,4.0,4.03,3.94,3.95,3.93,12775000
2019-12-30,3.86,4.0,3.85,3.95,3.93,11043400
2019-12-27,3.86,3.94,3.83,3.85,3.82,10816800
2019-12-26,3.87,3.99,3.85,3.9,3.87,16299900
2019-12-24,3.62,3.8,3.62,3.8,3.77,9212600
2019-12-23,3.52,3.6,3.51,3.59,3.57,10722700
2019-12-20,3.61,3.63,3.46,3.48,3.46,23807300
2019-12-19,3.64,3.65,3.56,3.61,3.58,23241800
2019-12-18,3.58,3.66,3.56,3.65,3.62,8768000
2019-12-17,3.71,3.71,3.6,3.6,3.57,13574400
2019-12-16,3.78,3.8,3.69,3.69,3.66,10031600
2019-12-13,3.66,3.75,3.61,3.74,3.71,19216300
2019-12-12,3.77,3.82,3.64,3.67,3.64,14088100
2019-12-11,3.57,3.74,3.55,3.71,3.68,18982400
2019-12-10,3.6,3.6,3.52,3.54,3.52,15546300
2019-12-09,3.6,3.61,3.53,3.55,3.53,13371100
2019-12-06,3.66,3.68,3.55,3.56,3.54,22260500
2019-12-05,3.77,3.83,3.74,3.77,3.74,13703800
2019-12-04,3.75,3.77,3.66,3.76,3.73,12220500
2019-12-03,3.73,3.84,3.7,3.75,3.72,17426200
2019-12-02,3.59,3.68,3.58,3.67,3.64,10498100
2019-11-29,3.53,3.62,3.51,3.58,3.56,9415800
2019-11-27,3.53,3.56,3.48,3.5,3.48,11618000
2019-11-26,3.44,3.6,3.43,3.59,3.57,9786900
2019-11-25,3.44,3.51,3.41,3.43,3.41,9385600
2019-11-22,3.51,3.52,3.43,3.47,3.45,9779700
2019-11-21,3.52,3.59,3.48,3.49,3.47,10699600
2019-11-20,3.56,3.58,3.5,3.55,3.53,10294400
2019-11-19,3.49,3.58,3.47,3.53,3.51,11095600
2019-11-18,3.42,3.55,3.42,3.5,3.48,12534800
2019-11-15,3.43,3.5,3.41,3.44,3.42,8165700
2019-11-14,3.45,3.49,3.36,3.47,3.45,28203700
2019-11-13,3.39,3.47,3.38,3.41,3.39,24388000
2019-11-12,3.23,3.37,3.19,3.34,3.32,25996300
2019-11-11,3.31,3.32,3.25,3.25,3.23,18790300
2019-11-08,3.23,3.34,3.22,3.27,3.25,27775100
2019-11-07,3.43,3.45,3.2,3.27,3.25,32720400
2019-11-06,3.44,3.5,3.39,3.47,3.45,21417400
2019-11-05,3.44,3.45,3.35,3.42,3.4,25752400
2019-11-04,3.58,3.6,3.48,3.5,3.48,11996800
2019-11-01,3.59,3.67,3.55,3.6,3.57,12499500
2019-10-31,3.56,3.7,3.56,3.64,3.61,16048500
2019-10-30,3.55,3.58,3.4,3.5,3.48,16977200
2019-10-29,3.49,3.58,3.45,3.52,3.5,14649400
2019-10-28,3.6,3.63,3.51,3.52,3.5,17552300
2019-10-25,3.52,3.79,3.52,3.65,3.62,42495800
2019-10-24,3.32,3.48,3.32,3.38,3.36,27544400
2019-10-23,3.29,3.36,3.27,3.29,3.27,14426400
2019-10-22,3.26,3.27,3.18,3.26,3.24,8191300
2019-10-21,3.39,3.4,3.24,3.24,3.22,10137400
2019-10-18,3.33,3.4,3.3,3.37,3.35,8415500
2019-10-17,3.25,3.38,3.25,3.36,3.34,13023200
2019-10-16,3.24,3.28,3.21,3.26,3.24,10579100
2019-10-15,3.29,3.3,3.18,3.2,3.18,17702800
2019-10-14,3.29,3.34,3.26,3.28,3.26,6041900
2019-10-11,3.37,3.38,3.25,3.27,3.25,13258300
2019-10-10,3.43,3.45,3.34,3.42,3.4,8772200
2019-10-09,3.48,3.51,3.41,3.44,3.42,9227900
