Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,4.58,4.93,4.52,4.86,4.86,2502178
2020-04-17,4.56,4.6,4.38,4.58,4.58,1537800
2020-04-16,4.37,4.61,4.24,4.41,4.41,1487400
2020-04-15,4.35,4.43,4.18,4.35,4.35,1537000
2020-04-14,4.47,4.54,4.33,4.39,4.39,1973900
2020-04-13,4.46,4.52,4.24,4.36,4.36,1521600
2020-04-09,4.28,4.43,4.2,4.41,4.41,2273400
2020-04-08,3.82,4.27,3.82,4.16,4.16,2680000
2020-04-07,4.0,4.12,3.7,3.72,3.72,2073400
2020-04-06,3.74,3.92,3.67,3.92,3.92,1625000
2020-04-03,3.62,3.77,3.49,3.53,3.53,1234800
2020-04-02,3.42,3.74,3.4,3.62,3.62,2117500
2020-04-01,3.84,3.84,3.47,3.48,3.48,2208300
2020-03-31,3.95,4.06,3.68,3.85,3.85,1699900
2020-03-30,3.82,3.96,3.73,3.88,3.88,1276400
2020-03-27,3.75,4.0,3.62,3.77,3.77,2392700
2020-03-26,3.84,4.08,3.74,3.89,3.89,2637200
2020-03-25,3.76,3.9,3.41,3.82,3.82,2461800
2020-03-24,3.44,3.63,3.24,3.57,3.57,3201800
2020-03-23,2.99,3.3,2.93,3.13,3.13,2271900
2020-03-20,2.98,3.15,2.89,2.95,2.95,3372500
2020-03-19,2.75,3.1,2.6,2.89,2.89,2632700
2020-03-18,2.83,3.14,2.56,2.74,2.74,2985800
2020-03-17,2.92,3.35,2.68,2.89,2.89,4338000
2020-03-16,2.62,3.2,2.61,2.61,2.61,3327300
2020-03-13,3.2,3.54,2.55,3.41,3.41,4017700
2020-03-12,3.35,3.36,2.88,2.93,2.93,3164600
2020-03-11,3.71,3.79,3.42,3.52,3.52,2204100
2020-03-10,3.68,3.81,3.51,3.81,3.81,1822000
2020-03-09,3.6,3.85,3.45,3.48,3.48,2174900
2020-03-06,4.07,4.17,3.8,3.95,3.95,2324500
2020-03-05,4.2,4.24,4.09,4.22,4.22,1578700
2020-03-04,4.11,4.32,4.09,4.31,4.31,1629000
2020-03-03,4.44,4.46,4.0,4.01,4.01,2379100
2020-03-02,4.23,4.4,4.08,4.4,4.4,1905800
2020-02-28,3.99,4.39,3.99,4.21,4.21,2387000
2020-02-27,4.57,4.63,4.18,4.18,4.18,3047800
