Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,7.07,8.69,6.93,7.51,7.51,556727
2020-04-17,7.22,7.45,6.86,7.35,7.35,329800
2020-04-16,6.97,7.16,6.6,6.72,6.72,206500
2020-04-15,7.0,7.25,6.53,6.96,6.96,198300
2020-04-14,7.1,7.5,6.9,7.39,7.39,240900
2020-04-13,7.29,7.34,6.28,6.66,6.66,271200
2020-04-09,6.76,7.63,6.55,7.05,7.05,488100
2020-04-08,6.29,6.8,6.02,6.3,6.3,474800
2020-04-07,7.05,7.37,5.89,6.02,6.02,683600
2020-04-06,5.67,6.45,5.53,6.24,6.24,460900
2020-04-03,5.51,5.58,5.0,5.26,5.26,235600
2020-04-02,6.02,6.44,5.35,5.41,5.41,370400
2020-04-01,6.25,6.48,5.57,6.0,6.0,523300
2020-03-31,6.11,7.11,6.11,6.61,6.61,426800
2020-03-30,6.29,6.94,5.97,6.08,6.08,396100
2020-03-27,7.56,7.56,5.91,6.64,6.64,773500
2020-03-26,7.91,8.69,7.19,8.09,8.09,602700
2020-03-25,7.48,9.29,6.5,7.74,7.74,1182900
2020-03-24,4.79,6.95,4.79,6.48,6.48,839700
2020-03-23,4.21,4.32,3.55,4.27,4.27,520200
2020-03-20,4.61,5.32,3.75,3.78,3.78,1506500
2020-03-19,4.57,5.18,4.01,4.39,4.39,567000
2020-03-18,5.67,5.67,3.75,4.34,4.34,374700
2020-03-17,5.6,6.02,4.51,5.75,5.75,607900
2020-03-16,5.0,7.77,5.0,5.25,5.25,381300
2020-03-13,9.8,10.0,6.74,8.86,8.86,444400
2020-03-12,9.04,9.04,7.71,7.89,7.89,234800
2020-03-11,11.05,11.05,9.73,9.81,9.81,157200
2020-03-10,10.78,11.38,10.17,11.37,11.37,207300
2020-03-09,11.3,11.86,10.3,10.48,10.48,150700
2020-03-06,11.57,12.71,11.16,12.27,12.27,158200
2020-03-05,13.98,13.98,12.16,12.3,12.3,170900
2020-03-04,14.61,14.61,13.58,14.33,14.33,97400
2020-03-03,15.15,15.36,14.3,14.39,14.39,89900
2020-03-02,15.79,16.19,14.51,15.26,15.26,181600
2020-02-28,16.01,16.79,15.76,16.28,16.28,108100
2020-02-27,16.8,17.51,16.1,16.74,16.74,113000
2020-02-26,18.34,19.02,16.91,17.25,17.25,66100
2020-02-25,19.39,19.86,18.28,18.31,18.31,89100
2020-02-24,19.75,20.33,19.35,19.41,19.41,48300
2020-02-21,20.95,20.99,20.37,20.55,20.55,60700
2020-02-20,21.16,21.49,20.93,21.0,21.0,79200
2020-02-19,21.25,21.67,21.05,21.34,21.34,81600
2020-02-18,20.84,21.26,20.84,21.16,21.16,224000
2020-02-14,20.74,20.96,20.55,20.89,20.89,93100
2020-02-13,20.8,20.83,20.12,20.75,20.75,117500
2020-02-12,20.8,21.17,20.7,20.99,20.99,111900
2020-02-11,20.38,20.92,20.31,20.62,20.62,49700
2020-02-10,19.63,20.29,19.63,20.2,20.2,65600
2020-02-07,19.48,19.81,19.18,19.58,19.58,54100
2020-02-06,19.61,19.8,19.32,19.6,19.6,50400
2020-02-05,19.12,19.7,18.96,19.57,19.57,96100
2020-02-04,18.37,19.14,18.37,18.82,18.82,100300
2020-02-03,17.49,18.24,17.31,18.06,18.06,146900
2020-01-31,18.06,18.16,17.11,17.16,17.16,80700
2020-01-30,17.94,18.4,17.82,17.95,17.95,83100
2020-01-29,18.05,18.51,18.01,18.15,18.15,77300
2020-01-28,18.15,18.34,18.02,18.19,18.19,63700
2020-01-27,18.11,18.44,17.4,18.1,18.1,69100
2020-01-24,18.82,19.11,18.41,18.46,18.46,65300
2020-01-23,18.06,18.9,17.81,18.75,18.75,84100
2020-01-22,18.48,18.63,18.23,18.24,18.24,49200
2020-01-21,18.69,19.0,18.35,18.44,18.44,62700
2020-01-17,19.19,19.56,18.79,18.92,18.92,62900
2020-01-16,18.35,19.05,18.35,19.04,19.04,94800
2020-01-15,18.41,18.8,18.41,18.77,18.77,68900
2020-01-14,18.36,18.77,18.16,18.4,18.4,45000
2020-01-13,18.39,18.59,18.15,18.48,18.48,70100
2020-01-10,18.59,18.85,18.12,18.42,18.42,76600
2020-01-09,19.0,19.01,18.56,18.61,18.61,39700
2020-01-08,18.93,19.14,18.87,18.89,18.89,95100
2020-01-07,19.2,19.27,18.89,18.95,18.95,62100
2020-01-06,18.8,19.22,18.51,19.18,19.18,100300
2020-01-03,18.71,18.93,18.57,18.68,18.68,70200
2020-01-02,19.45,19.45,18.86,18.99,18.99,60600
2019-12-31,18.99,19.4,18.98,19.22,19.22,54700
2019-12-30,19.18,19.33,18.9,19.12,19.12,51200
2019-12-27,19.42,19.54,19.11,19.18,19.18,44000
2019-12-26,19.36,19.59,19.26,19.33,19.33,46000
2019-12-24,19.37,19.4,19.18,19.36,19.36,22700
2019-12-23,19.16,19.43,19.13,19.4,19.4,48500
2019-12-20,19.29,19.5,19.0,19.06,19.06,133600
2019-12-19,19.16,19.43,19.14,19.25,19.25,104900
2019-12-18,18.86,19.29,18.6,19.15,19.15,81200
2019-12-17,18.68,18.77,18.48,18.77,18.77,68300
2019-12-16,18.67,19.37,18.33,18.66,18.66,77200
2019-12-13,18.65,18.85,18.45,18.65,18.65,56900
2019-12-12,18.45,18.64,18.2,18.61,18.61,103300
2019-12-11,18.41,18.61,18.24,18.43,18.43,87800
2019-12-10,18.38,18.69,18.22,18.34,18.34,133900
2019-12-09,18.12,18.47,18.12,18.41,18.41,67100
2019-12-06,18.01,18.26,17.98,18.17,18.17,150000
2019-12-05,18.12,18.2,17.79,17.86,17.86,78400
2019-12-04,17.97,18.12,17.81,18.08,18.08,75100
2019-12-03,17.62,17.87,17.48,17.82,17.82,105100
2019-12-02,18.17,18.18,17.76,17.82,17.82,72200
2019-11-29,18.05,18.22,18.05,18.12,18.12,28100
2019-11-27,18.03,18.37,18.02,18.18,18.18,63200
2019-11-26,18.29,18.46,17.92,17.96,17.96,128600
2019-11-25,18.1,18.56,18.1,18.27,18.27,102300
2019-11-22,18.07,18.23,17.82,18.05,18.05,117800
2019-11-21,18.0,18.16,17.77,18.03,18.03,91500
2019-11-20,17.76,18.18,17.59,17.95,17.95,149400
2019-11-19,18.0,18.1,17.46,17.9,17.9,108000
2019-11-18,18.1,18.19,17.89,17.94,17.94,143300
2019-11-15,18.36,18.5,17.86,18.15,18.15,139300
2019-11-14,17.22,18.27,17.22,18.1,18.1,270600
2019-11-13,16.47,17.02,16.41,16.97,16.97,215800
2019-11-12,16.65,16.87,16.5,16.66,16.66,103400
2019-11-11,16.07,16.71,15.92,16.61,16.61,167000
2019-11-08,15.66,16.47,15.51,16.06,16.06,313400
2019-11-07,15.45,15.61,15.22,15.56,15.56,95100
2019-11-06,15.75,15.78,15.21,15.33,15.33,83000
2019-11-05,15.56,15.95,15.54,15.78,15.78,108800
2019-11-04,15.14,15.63,15.13,15.57,15.57,76300
2019-11-01,14.47,15.13,14.47,15.09,15.09,193600
2019-10-31,14.49,14.61,14.14,14.48,14.48,178200
2019-10-30,14.19,14.81,14.19,14.42,14.42,224700
2019-10-29,14.63,14.65,14.14,14.19,14.19,364700
2019-10-28,14.65,14.85,14.56,14.69,14.69,124600
2019-10-25,14.1,14.75,14.08,14.67,14.67,167400
2019-10-24,14.0,14.45,13.93,14.25,14.25,177800
2019-10-23,13.56,14.22,13.29,13.99,13.99,292700
2019-10-22,13.68,13.68,12.99,13.06,13.06,211100
2019-10-21,13.88,14.0,13.63,13.65,13.65,112200
2019-10-18,13.74,13.84,13.58,13.68,13.68,121300
2019-10-17,13.89,14.0,13.71,13.83,13.83,115000
2019-10-16,13.47,13.8,13.47,13.71,13.71,117400
2019-10-15,13.12,13.58,13.12,13.5,13.5,147100
2019-10-14,13.12,13.26,12.87,13.19,13.19,89400
2019-10-11,12.99,13.33,12.93,13.07,13.07,125800
2019-10-10,12.91,13.05,12.74,12.83,12.83,68100
2019-10-09,12.99,13.1,12.6,12.87,12.87,95300
2019-10-08,12.82,13.02,12.73,12.88,12.88,91600
2019-10-07,12.98,13.13,12.63,13.01,13.01,127800
2019-10-04,12.99,13.13,12.85,12.92,12.92,70600
2019-10-03,13.08,13.3,12.83,12.98,12.98,66800
2019-10-02,13.05,13.44,13.02,13.11,13.11,86000
2019-10-01,13.38,13.74,13.17,13.2,13.2,115600
2019-09-30,13.05,13.39,13.04,13.29,13.29,54600
2019-09-27,13.29,13.41,13.04,13.12,13.12,47500
2019-09-26,13.52,13.57,13.14,13.26,13.26,69000
2019-09-25,13.51,13.79,13.45,13.59,13.59,76100
2019-09-24,14.0,14.0,13.23,13.5,13.5,111500
2019-09-23,13.27,14.1,13.27,13.97,13.97,81500
2019-09-20,13.94,14.09,13.23,13.44,13.44,169600
2019-09-19,14.0,14.29,13.95,13.95,13.95,65800
2019-09-18,14.3,14.41,13.73,13.99,13.99,94700
2019-09-17,14.43,14.43,14.17,14.29,14.29,69400
2019-09-16,14.7,14.74,14.28,14.52,14.52,87900
2019-09-13,14.65,14.9,14.56,14.74,14.74,115000
2019-09-12,14.36,14.73,14.22,14.57,14.57,90700
2019-09-11,14.11,14.53,13.73,14.42,14.42,131400
2019-09-10,13.84,14.38,13.6,13.97,13.97,224600
2019-09-09,13.32,14.03,13.2,14.0,14.0,219500
2019-09-06,13.73,13.99,13.37,13.49,13.49,105700
2019-09-05,13.95,14.14,13.67,13.74,13.74,128900
2019-09-04,13.48,13.83,13.47,13.67,13.67,78300
2019-09-03,14.07,14.07,12.91,13.31,13.31,164100
2019-08-30,14.4,14.6,14.1,14.18,14.18,113200
2019-08-29,13.88,14.33,13.85,14.31,14.31,107500
2019-08-28,13.29,13.81,12.97,13.64,13.64,89300
2019-08-27,13.79,13.79,13.07,13.28,13.28,85800
2019-08-26,13.74,13.74,13.43,13.66,13.66,36600
2019-08-23,14.12,14.25,13.43,13.52,13.52,88400
2019-08-22,14.24,14.55,14.15,14.3,14.3,44200
2019-08-21,13.96,14.39,13.78,14.21,14.21,99500
2019-08-20,13.49,13.84,13.32,13.73,13.73,54700
2019-08-19,13.3,13.8,13.29,13.61,13.61,74700
2019-08-16,12.66,13.16,12.45,13.12,13.12,75300
2019-08-15,12.67,12.81,12.32,12.56,12.56,104500
2019-08-14,13.0,13.2,12.53,12.67,12.67,172200
2019-08-13,13.3,13.45,13.0,13.26,13.26,117200
2019-08-12,13.81,13.93,13.22,13.26,13.26,78400
2019-08-09,13.71,14.18,13.44,13.95,13.95,370900
2019-08-08,13.1,13.86,13.1,13.65,13.65,191300
2019-08-07,13.52,13.52,12.71,13.09,13.09,180100
2019-08-06,13.61,13.65,13.06,13.29,13.29,72100
2019-08-05,13.37,13.45,13.01,13.37,13.37,100800
2019-08-02,13.79,13.79,13.45,13.73,13.73,75200
2019-08-01,14.14,14.33,13.85,13.9,13.9,149700
2019-07-31,14.47,14.51,13.97,14.02,14.02,114200
2019-07-30,14.38,14.6,14.08,14.49,14.49,89400
2019-07-29,14.49,14.7,14.32,14.49,14.49,86000
2019-07-26,14.25,14.63,14.12,14.52,14.52,89300
2019-07-25,14.44,14.52,14.07,14.19,14.19,95500
2019-07-24,14.18,14.6,14.15,14.46,14.46,134500
2019-07-23,14.11,14.32,14.01,14.27,14.27,94500
2019-07-22,14.19,14.31,13.95,14.09,14.09,95600
2019-07-19,14.3,14.33,14.06,14.15,14.15,87500
2019-07-18,14.47,14.6,14.23,14.32,14.32,80900
2019-07-17,15.0,15.05,14.59,14.6,14.6,206300
2019-07-16,14.75,15.28,14.75,15.04,15.04,163300
2019-07-15,14.64,15.07,14.63,14.75,14.75,155400
2019-07-12,14.27,14.78,14.26,14.66,14.66,132400
2019-07-11,14.38,14.48,14.12,14.29,14.29,166800
2019-07-10,14.53,14.7,14.14,14.5,14.5,175700
2019-07-09,14.27,14.54,14.14,14.51,14.51,116600
2019-07-08,14.41,14.65,14.31,14.4,14.4,63700
2019-07-05,14.15,14.62,14.04,14.49,14.49,59200
2019-07-03,14.15,14.35,13.92,14.19,14.19,104000
2019-07-02,13.73,14.16,13.52,14.15,14.15,101300
2019-07-01,14.33,14.52,13.71,13.78,13.78,115600
2019-06-28,13.89,14.08,13.79,14.0,14.0,446000
2019-06-27,13.63,13.94,13.53,13.94,13.94,145600
2019-06-26,13.56,13.68,13.53,13.55,13.55,75400
2019-06-25,13.52,13.63,13.32,13.47,13.47,100200
2019-06-24,13.77,13.87,13.42,13.52,13.52,116200
2019-06-21,13.79,13.9,13.46,13.68,13.68,100800
2019-06-20,14.08,14.33,13.9,13.9,13.9,108500
2019-06-19,14.24,14.24,13.82,13.88,13.88,79300
2019-06-18,14.16,14.52,14.13,14.28,14.28,90800
2019-06-17,13.85,14.23,13.67,14.17,14.17,135900
2019-06-14,14.33,14.49,13.82,13.82,13.82,75900
2019-06-13,13.8,14.46,13.78,14.29,14.29,98600
2019-06-12,13.83,14.07,13.29,13.56,13.56,111500
2019-06-11,13.9,14.13,13.66,13.89,13.89,89400
2019-06-10,13.72,14.14,13.52,13.58,13.58,84300
2019-06-07,12.94,13.66,12.89,13.63,13.63,124200
2019-06-06,13.13,13.19,12.51,12.8,12.8,67800
2019-06-05,13.32,13.53,12.82,13.04,13.04,78400
2019-06-04,12.7,13.42,12.47,13.4,13.4,110900
2019-06-03,12.93,12.93,12.46,12.55,12.55,124700
2019-05-31,12.91,12.96,12.71,12.9,12.9,67200
2019-05-30,12.98,13.28,12.95,13.04,13.04,100200
2019-05-29,12.88,13.09,12.66,12.98,12.98,105300
2019-05-28,13.38,13.51,12.95,13.01,13.01,146100
2019-05-24,13.66,13.8,13.26,13.33,13.33,119400
2019-05-23,13.64,13.67,13.37,13.57,13.57,107900
2019-05-22,13.67,13.85,13.59,13.82,13.82,76900
2019-05-21,13.6,13.79,13.39,13.74,13.74,134700
2019-05-20,13.64,13.64,13.16,13.55,13.55,122300
2019-05-17,13.85,14.09,13.75,13.75,13.75,130600
2019-05-16,13.91,14.27,13.71,13.98,13.98,93400
2019-05-15,13.92,14.11,13.77,13.94,13.94,178000
2019-05-14,14.09,14.2,13.7,14.02,14.02,112700
2019-05-13,14.25,14.38,13.75,14.02,14.02,161600
2019-05-10,14.46,15.4,14.19,14.7,14.7,142300
2019-05-09,14.22,14.81,13.97,14.49,14.49,319800
2019-05-08,14.43,14.84,14.35,14.38,14.38,113500
2019-05-07,14.73,14.91,14.25,14.41,14.41,147900
2019-05-06,14.92,15.21,14.84,14.9,14.9,106800
2019-05-03,15.14,15.49,15.14,15.27,15.27,82100
2019-05-02,15.13,15.51,14.71,15.01,15.01,124400
2019-05-01,15.82,16.05,15.07,15.15,15.15,112600
2019-04-30,16.29,16.36,15.61,15.73,15.73,133000
2019-04-29,16.28,16.57,16.04,16.28,16.28,140700
2019-04-26,16.1,16.25,15.92,16.25,16.25,153600
2019-04-25,16.02,16.27,15.59,15.93,15.93,43000
2019-04-24,15.98,16.23,15.93,16.01,16.01,52800
2019-04-23,16.07,16.33,15.9,16.11,16.11,64200
2019-04-22,16.34,16.38,15.8,16.14,16.14,148100
2019-04-18,16.15,16.37,15.93,16.33,16.33,113600
2019-04-17,16.12,16.43,15.92,16.23,16.23,88200
2019-04-16,15.97,16.15,15.74,16.03,16.03,128400
2019-04-15,16.35,16.35,15.56,15.93,15.93,102500
2019-04-12,16.07,16.35,15.89,16.33,16.33,84900
2019-04-11,16.12,16.26,15.89,15.95,15.95,65300
2019-04-10,15.61,16.35,15.61,15.99,15.99,144000
2019-04-09,15.94,15.98,15.59,15.64,15.64,72500
2019-04-08,16.48,16.48,15.8,16.09,16.09,83600
2019-04-05,15.87,16.54,15.87,16.52,16.52,179100
2019-04-04,15.52,16.14,15.52,15.83,15.83,98000
2019-04-03,15.81,15.85,15.41,15.56,15.56,113200
2019-04-02,14.94,15.73,14.67,15.58,15.58,279800
