Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,1.83,1.83,1.64,1.69,1.69,1905046
2020-04-17,1.9,1.92,1.76,1.84,1.84,1291500
2020-04-16,1.87,1.9,1.71,1.82,1.82,1197700
2020-04-15,1.89,1.92,1.73,1.91,1.91,1389200
2020-04-14,2.01,2.06,1.82,1.9,1.9,1668000
2020-04-13,2.11,2.11,1.87,1.99,1.99,1023200
2020-04-09,1.94,2.11,1.88,2.1,2.1,1958700
2020-04-08,1.81,1.95,1.7,1.92,1.92,1244100
2020-04-07,1.82,1.94,1.77,1.8,1.8,1745600
2020-04-06,2.04,2.06,1.69,1.71,1.71,1608800
2020-04-03,1.86,1.99,1.5,1.98,1.98,2558000
2020-04-02,2.01,2.08,1.86,1.89,1.89,891500
2020-04-01,2.13,2.15,2.0,2.01,2.01,2696000
2020-03-31,2.3,2.31,2.08,2.12,2.12,661100
2020-03-30,2.13,2.36,2.06,2.32,2.32,759100
2020-03-27,2.28,2.38,2.1,2.12,2.12,1466000
2020-03-26,2.51,2.61,2.29,2.3,2.3,2622100
2020-03-25,3.13,3.15,2.25,2.29,2.29,2697300
2020-03-24,3.53,3.58,2.85,3.15,3.15,3730300
2020-03-23,2.89,3.31,2.72,3.22,3.22,3594800
2020-03-20,2.25,2.94,2.24,2.7,2.7,3999300
2020-03-19,2.19,2.3,2.11,2.22,2.22,2362200
2020-03-18,2.0,2.42,1.91,2.09,2.09,2259500
2020-03-17,1.96,2.24,1.9,2.14,2.14,2823300
2020-03-16,1.54,2.19,1.54,1.8,1.8,2105900
2020-03-13,2.49,2.55,1.97,2.23,2.23,3629000
2020-03-12,2.23,2.24,1.77,1.93,1.93,5069100
2020-03-11,2.67,2.71,2.48,2.49,2.49,2897200
2020-03-10,2.91,2.91,2.42,2.83,2.83,4760400
2020-03-09,2.5,2.91,2.35,2.78,2.78,9358800
2020-03-06,2.7,3.04,2.57,2.81,2.81,5185700
2020-03-05,3.25,3.26,2.75,2.81,2.81,6213100
2020-03-04,3.31,3.37,3.22,3.3,3.3,3220400
2020-03-03,3.52,3.54,3.18,3.23,3.23,4227400
2020-03-02,3.66,3.68,3.23,3.55,3.55,4410300
2020-02-28,3.61,3.79,3.51,3.61,3.61,3056200
2020-02-27,3.8,3.89,2.96,3.83,3.83,5066300
2020-02-26,4.28,4.35,3.81,3.85,3.85,4215600
2020-02-25,4.54,4.64,4.22,4.29,4.29,3304200
2020-02-24,4.79,4.9,4.41,4.44,4.44,4932000
2020-02-21,5.1,5.12,4.82,4.97,4.97,2226800
2020-02-20,5.1,5.23,5.05,5.12,5.12,889600
2020-02-19,5.01,5.14,5.01,5.05,5.05,931200
2020-02-18,5.01,5.06,4.89,5.01,5.01,1610000
2020-02-14,5.11,5.17,5.01,5.01,5.01,1277200
2020-02-13,5.2,5.3,5.08,5.11,5.11,822500
2020-02-12,5.48,5.59,5.18,5.22,5.22,1249400
2020-02-11,5.14,5.59,5.11,5.44,5.44,1622000
2020-02-10,4.99,5.11,4.98,5.09,5.09,968900
2020-02-07,5.26,5.33,5.02,5.03,5.03,1222300
2020-02-06,5.05,5.32,5.03,5.28,5.28,1587500
2020-02-05,5.1,5.19,4.91,5.03,5.03,1981300
2020-02-04,5.23,5.24,5.06,5.08,5.08,2303300
2020-02-03,5.28,5.32,5.16,5.19,5.19,1818400
2020-01-31,5.34,5.38,5.19,5.26,5.26,1446600
2020-01-30,5.36,5.4,5.19,5.39,5.39,1708100
2020-01-29,5.57,5.63,5.37,5.46,5.46,870600
2020-01-28,5.42,5.63,5.42,5.56,5.56,1281600
2020-01-27,5.35,5.43,5.25,5.4,5.4,923200
2020-01-24,5.23,5.47,5.15,5.45,5.45,1846100
2020-01-23,5.24,5.37,5.18,5.27,5.27,1516100
2020-01-22,5.31,5.34,5.19,5.25,5.25,1380400
2020-01-21,5.5,5.55,5.23,5.3,5.3,2129000
2020-01-17,5.66,5.67,5.43,5.52,5.52,2347500
2020-01-16,5.49,6.24,5.48,5.6,5.6,5742900
2020-01-15,5.55,5.62,5.32,5.33,5.33,2521600
2020-01-14,5.55,5.6,5.49,5.54,5.54,2001800
2020-01-13,5.51,5.67,5.49,5.55,5.55,1206900
2020-01-10,5.59,5.64,5.43,5.54,5.54,1313000
2020-01-09,5.67,5.85,5.57,5.61,5.61,1720800
2020-01-08,5.82,5.9,5.61,5.63,5.63,2143000
2020-01-07,6.28,6.36,5.84,5.85,5.85,2702500
2020-01-06,5.91,6.32,5.85,6.25,6.25,1898300
2020-01-03,6.03,6.18,5.96,6.0,6.0,1471600
2020-01-02,6.42,6.48,6.17,6.18,6.18,1731400
2019-12-31,6.39,6.55,6.36,6.4,6.4,2853800
2019-12-30,6.29,6.45,6.03,6.39,6.39,1205100
2019-12-27,6.48,6.65,6.21,6.26,6.26,1289600
2019-12-26,6.6,6.67,6.31,6.48,6.48,1596300
2019-12-24,6.59,6.65,6.5,6.55,6.55,1070200
2019-12-23,6.04,6.74,6.01,6.55,6.55,2939400
2019-12-20,6.08,6.14,5.88,6.02,6.02,1554500
2019-12-19,6.0,6.28,5.97,6.09,6.09,1838400
2019-12-18,5.44,6.07,5.44,5.93,5.93,1841900
2019-12-17,5.56,5.58,5.36,5.42,5.42,886900
2019-12-16,5.61,5.71,5.49,5.57,5.57,1181800
2019-12-13,5.44,5.71,5.36,5.58,5.58,1013900
2019-12-12,5.4,5.55,5.32,5.46,5.46,939200
2019-12-11,5.41,5.61,5.24,5.37,5.37,1340400
2019-12-10,5.38,5.43,5.25,5.4,5.4,988100
2019-12-09,5.6,5.66,5.39,5.39,5.39,893700
2019-12-06,5.81,5.86,5.53,5.66,5.66,893600
2019-12-05,5.81,5.97,5.77,5.8,5.8,1325800
2019-12-04,5.55,5.8,5.49,5.77,5.77,1179600
2019-12-03,5.27,5.49,5.19,5.48,5.48,1127400
2019-12-02,5.25,5.43,5.18,5.34,5.34,1176700
2019-11-29,5.24,5.24,5.03,5.06,5.06,788900
2019-11-27,5.28,5.39,5.23,5.26,5.26,643400
2019-11-26,5.29,5.43,5.25,5.33,5.33,848600
2019-11-25,5.24,5.35,5.21,5.28,5.28,1604800
2019-11-22,5.39,5.44,5.16,5.2,5.2,1136000
2019-11-21,5.39,5.41,5.26,5.36,5.36,1851300
2019-11-20,5.66,5.7,5.34,5.36,5.36,1428200
2019-11-19,5.76,5.84,5.34,5.73,5.73,2091700
2019-11-18,5.32,5.39,5.26,5.32,5.32,1931200
2019-11-15,5.92,5.93,5.34,5.34,5.34,2410300
2019-11-14,6.02,6.04,5.86,5.88,5.88,1542200
2019-11-13,6.34,6.34,6.0,6.02,6.02,1251600
2019-11-12,6.43,6.51,6.28,6.38,6.38,1472800
2019-11-11,6.5,6.64,6.36,6.43,6.43,2116900
2019-11-08,6.58,6.89,6.36,6.5,6.5,2653900
2019-11-07,6.75,6.84,6.41,6.5,6.5,3382200
2019-11-06,6.46,6.46,6.22,6.3,6.3,1060200
2019-11-05,6.2,6.49,6.18,6.48,6.48,1090900
2019-11-04,6.27,6.51,6.19,6.21,6.21,1055300
2019-11-01,6.17,6.25,6.02,6.17,6.17,967300
2019-10-31,6.21,6.28,6.01,6.15,6.15,1237800
2019-10-30,6.42,6.68,6.06,6.16,6.16,3524800
2019-10-29,6.44,6.51,6.24,6.44,6.44,1234100
2019-10-28,6.34,6.5,6.34,6.42,6.42,1540200
2019-10-25,6.14,6.35,6.13,6.28,6.28,1685700
2019-10-24,6.13,6.2,6.03,6.18,6.18,775000
2019-10-23,5.93,6.16,5.81,6.13,6.13,830100
2019-10-22,5.77,5.99,5.68,5.9,5.9,983800
2019-10-21,5.9,6.03,5.77,5.78,5.78,649500
2019-10-18,6.08,6.25,5.81,5.86,5.86,1333400
2019-10-17,5.71,6.05,5.66,6.03,6.03,1221900
2019-10-16,5.57,5.76,5.56,5.68,5.68,830100
2019-10-15,5.45,5.6,5.39,5.57,5.57,1644100
2019-10-14,5.57,5.64,5.34,5.46,5.46,1591200
2019-10-11,5.47,5.86,5.44,5.56,5.56,2038600
2019-10-10,5.28,5.55,5.22,5.41,5.41,1648800
2019-10-09,5.33,5.35,5.24,5.28,5.28,772600
2019-10-08,5.29,5.37,5.2,5.3,5.3,627000
2019-10-07,5.55,5.63,5.39,5.4,5.4,1026500
2019-10-04,5.6,5.65,5.41,5.53,5.53,565000
2019-10-03,5.59,5.67,5.49,5.6,5.6,748500
