Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,8.14,9.85,8.1,9.05,9.05,40575375
2020-04-17,8.0,8.39,7.54,8.26,8.26,21088400
2020-04-16,7.61,7.89,7.36,7.89,7.89,16583200
2020-04-15,7.22,7.33,6.88,7.14,7.14,11467300
2020-04-14,7.84,7.86,7.37,7.44,7.44,10986900
2020-04-13,8.08,8.14,7.53,7.76,7.76,10435700
2020-04-09,8.4,8.5,8.01,8.12,8.12,11626500
2020-04-08,8.29,8.53,8.13,8.32,8.32,13996900
2020-04-07,8.75,9.2,7.93,8.27,8.27,25542100
2020-04-06,8.48,8.68,7.82,8.44,8.44,31317700
2020-04-03,7.31,7.94,7.24,7.74,7.74,11052900
2020-04-02,7.63,7.65,7.1,7.52,7.52,10865400
2020-04-01,7.32,8.09,7.09,7.7,7.7,15973400
2020-03-31,7.94,8.05,7.25,7.44,7.44,13557300
2020-03-30,9.2,9.32,7.6,8.02,8.02,31303900
2020-03-27,7.27,8.42,7.21,8.32,8.32,36204200
2020-03-26,6.72,7.39,6.63,7.15,7.15,17695900
2020-03-25,6.93,6.95,6.57,6.68,6.68,11349000
2020-03-24,7.31,7.4,6.71,7.09,7.09,19009900
2020-03-23,7.39,7.44,6.53,6.62,6.62,15497100
2020-03-20,7.05,7.68,6.5,7.22,7.22,24446900
2020-03-19,7.39,7.43,6.1,6.49,6.49,18310000
2020-03-18,6.92,7.62,6.6,7.44,7.44,18324400
2020-03-17,6.82,7.85,6.5,7.34,7.34,32484900
2020-03-16,6.06,6.47,5.13,6.13,6.13,30066800
2020-03-13,7.99,8.63,6.6,7.2,7.2,43970700
2020-03-12,10.95,11.93,8.52,9.5,9.5,98065300
2020-03-11,6.85,8.6,6.34,8.37,8.37,98432900
2020-03-10,9.4,10.88,5.5,5.7,5.7,75074500
2020-03-09,18.9,19.36,8.53,9.83,9.83,138364400
2020-03-06,10.81,16.0,10.68,14.09,14.09,195142300
2020-03-05,8.03,10.1,7.52,9.8,9.8,112845000
2020-03-04,8.44,9.4,7.34,8.03,8.03,142160200
2020-03-03,5.12,7.48,4.84,7.45,7.45,121306800
2020-03-02,4.4,4.5,3.83,4.39,4.39,16180000
2020-02-28,4.79,4.89,3.93,4.28,4.28,25742400
2020-02-27,4.44,5.0,4.1,4.36,4.36,35244300
2020-02-26,3.8,4.04,3.73,3.99,3.99,14289700
2020-02-25,4.02,4.07,3.6,3.74,3.74,9679000
2020-02-24,4.1,4.2,3.83,3.96,3.96,15286400
2020-02-21,3.73,3.88,3.57,3.75,3.75,7859100
2020-02-20,3.76,3.79,3.57,3.64,3.64,6073200
2020-02-19,4.21,4.29,3.61,3.81,3.81,14385400
2020-02-18,4.45,4.55,4.16,4.22,4.22,15211000
2020-02-14,4.39,4.5,4.07,4.15,4.15,37226100
2020-02-13,3.72,4.05,3.6,3.86,3.86,29261400
2020-02-12,3.4,3.48,3.29,3.34,3.34,3797300
2020-02-11,3.42,3.45,3.26,3.39,3.39,4488600
2020-02-10,3.33,3.92,3.25,3.48,3.48,15857100
2020-02-07,3.36,3.39,3.14,3.19,3.19,4360800
2020-02-06,3.55,3.56,3.25,3.37,3.37,6243500
2020-02-05,3.5,3.71,3.4,3.56,3.56,4183600
2020-02-04,3.74,3.9,3.33,3.71,3.71,9551300
2020-02-03,4.36,4.47,3.71,3.91,3.91,11390000
2020-01-31,4.8,4.81,4.3,4.53,4.53,13975600
2020-01-30,4.86,4.88,4.5,4.66,4.66,20998900
2020-01-29,4.49,4.55,3.92,4.11,4.11,10834300
2020-01-28,5.67,5.68,4.28,4.36,4.36,23851800
2020-01-27,5.6,5.95,5.1,5.32,5.32,40859100
2020-01-24,4.49,4.7,4.12,4.24,4.24,24626700
2020-01-23,3.89,4.1,3.61,3.84,3.84,12313600
2020-01-22,3.55,3.56,3.33,3.44,3.44,2001600
2020-01-21,3.52,3.75,3.39,3.56,3.56,6385600
2020-01-17,3.44,3.44,3.23,3.29,3.29,738500
2020-01-16,3.4,3.43,3.32,3.4,3.4,733800
2020-01-15,3.3,3.43,3.23,3.35,3.35,987000
2020-01-14,3.34,3.44,3.29,3.29,3.29,1418900
2020-01-13,3.14,3.45,3.07,3.31,3.31,1881700
2020-01-10,3.18,3.18,3.04,3.11,3.11,715800
2020-01-09,3.15,3.19,3.04,3.1,3.1,1026900
2020-01-08,3.19,3.2,3.07,3.14,3.14,631500
2020-01-07,3.16,3.19,3.04,3.15,3.15,1123500
2020-01-06,3.02,3.16,2.95,3.14,3.14,1098200
2020-01-03,3.1,3.25,2.95,2.98,2.98,1205000
2020-01-02,3.39,3.39,3.06,3.21,3.21,971100
2019-12-31,3.38,3.44,3.29,3.3,3.3,835700
2019-12-30,3.37,3.54,3.36,3.4,3.4,1018500
2019-12-27,3.53,3.57,3.31,3.34,3.34,1481000
2019-12-26,3.57,3.66,3.49,3.55,3.55,1037300
2019-12-24,3.78,3.83,3.58,3.69,3.69,949900
2019-12-23,3.3,3.77,3.22,3.72,3.72,2087800
2019-12-20,3.54,3.58,3.12,3.3,3.3,2641100
2019-12-19,2.85,3.47,2.81,3.44,3.44,6519500
2019-12-18,2.63,2.7,2.57,2.63,2.63,635200
2019-12-17,2.66,2.66,2.56,2.63,2.63,548900
2019-12-16,2.74,2.8,2.62,2.63,2.63,818300
2019-12-13,2.71,2.75,2.65,2.72,2.72,561800
2019-12-12,2.61,2.74,2.61,2.71,2.71,662700
2019-12-11,2.57,2.65,2.55,2.64,2.64,578500
2019-12-10,2.44,2.58,2.42,2.57,2.57,856600
2019-12-09,2.36,2.54,2.35,2.46,2.46,691300
