Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,11.25,12.38,10.8,12.06,12.06,4044558
2020-04-17,12.6,12.72,11.05,11.79,11.79,6569400
2020-04-16,12.4,13.34,12.01,12.33,12.33,8263500
2020-04-15,11.0,12.13,10.52,11.9,11.9,6236600
2020-04-14,10.83,12.25,10.82,11.36,11.36,10751200
2020-04-13,9.65,10.47,9.36,10.38,10.38,7679800
2020-04-09,8.86,9.51,8.76,9.45,9.45,6567500
2020-04-08,7.7,8.85,7.56,8.64,8.64,8336900
2020-04-07,7.72,7.77,7.12,7.28,7.28,2976900
2020-04-06,7.3,7.6,7.02,7.6,7.6,2789700
2020-04-03,6.8,7.05,6.71,7.05,7.05,2092800
2020-04-02,6.93,7.05,6.55,6.85,6.85,2990700
2020-04-01,6.97,7.45,6.75,6.95,6.95,8101500
2020-03-31,6.29,6.36,6.04,6.23,6.23,2878500
2020-03-30,6.16,6.41,5.96,6.31,6.31,2558000
2020-03-27,6.25,6.34,5.94,6.07,6.07,2736100
2020-03-26,6.4,6.81,6.26,6.44,6.44,2652700
2020-03-25,5.87,6.66,5.77,6.24,6.24,4250200
2020-03-24,5.4,6.07,5.29,5.85,5.85,4389300
2020-03-23,5.19,5.32,4.71,5.15,5.15,3288800
2020-03-20,5.76,5.97,5.13,5.17,5.17,3332200
2020-03-19,5.3,5.83,5.12,5.55,5.55,3123100
2020-03-18,5.3,5.87,5.06,5.3,5.3,4020900
2020-03-17,4.81,5.86,4.41,5.56,5.56,4440900
2020-03-16,4.1,5.2,3.94,4.62,4.62,3297800
2020-03-13,4.54,4.82,4.2,4.82,4.82,3593900
2020-03-12,4.0,4.4,3.91,4.12,4.12,5100300
2020-03-11,5.26,5.37,4.82,4.93,4.93,3380900
2020-03-10,6.06,6.06,5.13,5.37,5.37,3070500
2020-03-09,5.26,5.5,5.03,5.11,5.11,3092400
2020-03-06,5.8,6.04,5.65,5.88,5.88,3503400
2020-03-05,6.47,6.47,6.05,6.17,6.17,2682400
2020-03-04,6.79,6.86,6.56,6.6,6.6,1946300
2020-03-03,7.23,7.24,6.41,6.61,6.61,4232200
2020-03-02,7.13,7.22,6.49,7.2,7.2,3700800
2020-02-28,6.5,7.01,6.41,6.94,6.94,2921000
2020-02-27,7.0,7.24,6.31,7.02,7.02,4138300
2020-02-26,7.44,7.7,7.0,7.33,7.33,3240400
2020-02-25,8.63,8.89,7.65,7.68,7.68,2757300
2020-02-24,8.75,8.82,8.21,8.52,8.52,2865800
2020-02-21,9.18,9.54,8.94,9.25,9.25,2181100
2020-02-20,9.26,9.64,8.81,9.12,9.12,2826100
2020-02-19,8.68,9.24,8.6,9.2,9.2,2849200
2020-02-18,8.26,8.74,8.26,8.57,8.57,2264400
2020-02-14,8.37,8.43,8.07,8.19,8.19,1205000
2020-02-13,8.1,8.43,7.84,8.31,8.31,1683400
2020-02-12,8.38,8.66,8.11,8.16,8.16,3016400
2020-02-11,8.09,8.47,8.04,8.38,8.38,2707000
2020-02-10,7.5,8.12,7.4,7.99,7.99,2367100
2020-02-07,7.44,7.54,7.22,7.35,7.35,1320500
2020-02-06,7.76,7.77,7.35,7.51,7.51,1782100
2020-02-05,7.76,7.9,7.18,7.7,7.7,2418900
2020-02-04,7.17,7.68,7.01,7.58,7.58,2453500
2020-02-03,6.84,7.13,6.65,7.03,7.03,2416700
2020-01-31,7.0,7.21,6.69,6.71,6.71,2096500
2020-01-30,7.29,7.29,6.56,6.96,6.96,4335100
2020-01-29,8.56,8.57,7.16,7.43,7.43,5541700
2020-01-28,8.32,8.63,8.3,8.4,8.4,1460400
2020-01-27,8.35,8.53,8.11,8.25,8.25,2074700
2020-01-24,9.08,9.12,8.5,8.65,8.65,1640600
2020-01-23,9.4,9.43,8.34,8.85,8.85,3218100
2020-01-22,9.65,9.73,9.15,9.4,9.4,2458800
2020-01-21,9.37,9.75,9.08,9.6,9.6,4034000
2020-01-17,8.5,9.25,8.41,9.15,9.15,4647200
2020-01-16,8.4,8.53,8.03,8.47,8.47,1854400
2020-01-15,7.85,8.3,7.85,8.2,8.2,1820700
2020-01-14,7.63,7.87,7.61,7.85,7.85,1597200
2020-01-13,7.39,7.66,7.27,7.57,7.57,1760200
2020-01-10,7.66,7.66,7.02,7.23,7.23,2569800
2020-01-09,8.29,8.3,7.31,7.53,7.53,5242600
2020-01-08,8.63,8.87,8.02,8.12,8.12,3712700
2020-01-07,8.5,8.95,8.22,8.72,8.72,4207500
2020-01-06,7.31,8.33,7.31,8.29,8.29,3953400
2020-01-03,7.28,7.44,7.26,7.41,7.41,916300
2020-01-02,7.4,7.47,7.24,7.43,7.43,1337200
2019-12-31,7.5,7.59,7.21,7.33,7.33,2218000
2019-12-30,7.12,7.63,7.12,7.48,7.48,2107700
2019-12-27,7.25,7.34,7.06,7.11,7.11,1362000
2019-12-26,7.06,7.27,7.06,7.21,7.21,1143400
2019-12-24,7.14,7.14,6.94,7.01,7.01,577500
2019-12-23,7.24,7.25,7.04,7.13,7.13,1082000
2019-12-20,7.0,7.33,6.82,7.25,7.25,2093700
2019-12-19,7.09,7.12,6.72,7.0,7.0,1755200
2019-12-18,7.21,7.27,7.01,7.11,7.11,1355800
2019-12-17,6.58,7.03,6.52,7.01,7.01,1442300
2019-12-16,7.31,7.4,6.46,6.68,6.68,3697700
2019-12-13,7.49,7.63,7.23,7.28,7.28,1745900
2019-12-12,7.7,7.9,7.34,7.44,7.44,2949300
2019-12-11,7.26,7.72,7.18,7.43,7.43,3107500
2019-12-10,6.9,7.25,6.89,7.25,7.25,2554500
2019-12-09,7.22,7.25,6.81,6.87,6.87,2560400
2019-12-06,6.51,6.97,6.51,6.94,6.94,2208500
2019-12-05,6.8,7.08,6.44,6.51,6.51,3304700
2019-12-04,6.5,6.85,6.32,6.74,6.74,1833100
2019-12-03,6.48,6.68,6.3,6.46,6.46,2211200
2019-12-02,6.48,6.92,6.36,6.63,6.63,3165000
2019-11-29,6.08,6.52,5.86,6.35,6.35,2248000
2019-11-27,5.79,6.24,5.73,6.07,6.07,3850400
2019-11-26,5.7,5.85,5.46,5.73,5.73,2340200
2019-11-25,5.16,5.57,5.1,5.54,5.54,1610300
2019-11-22,5.0,5.12,4.84,5.05,5.05,796900
2019-11-21,5.16,5.18,4.83,4.97,4.97,1195700
2019-11-20,5.09,5.29,5.01,5.06,5.06,1662900
2019-11-19,4.94,5.13,4.85,5.03,5.03,1138900
2019-11-18,4.75,4.94,4.72,4.91,4.91,784200
2019-11-15,4.6,4.82,4.55,4.73,4.73,1311800
2019-11-14,4.51,4.65,4.51,4.57,4.57,667100
2019-11-13,4.57,4.65,4.54,4.58,4.58,780300
2019-11-12,4.69,4.7,4.5,4.65,4.65,1153000
2019-11-11,4.77,4.77,4.5,4.64,4.64,1069900
2019-11-08,4.69,4.8,4.51,4.73,4.73,1561100
2019-11-07,5.03,5.04,4.5,4.76,4.76,3545500
2019-11-06,5.4,5.44,5.24,5.31,5.31,1276800
2019-11-05,5.62,5.68,5.34,5.39,5.39,1266500
2019-11-04,5.65,5.82,5.54,5.57,5.57,1557200
2019-11-01,5.75,5.84,5.53,5.56,5.56,1104300
2019-10-31,5.85,5.98,5.71,5.73,5.73,1204300
2019-10-30,5.57,5.81,5.54,5.8,5.8,1176100
2019-10-29,5.75,5.78,5.54,5.56,5.56,862700
2019-10-28,5.64,5.89,5.48,5.71,5.71,1770000
2019-10-25,5.24,5.48,5.16,5.43,5.43,890200
2019-10-24,5.26,5.4,5.19,5.27,5.27,1188200
2019-10-23,5.68,5.73,5.18,5.19,5.19,1997900
2019-10-22,5.45,5.73,5.36,5.71,5.71,2004100
2019-10-21,5.25,5.52,5.21,5.4,5.4,2202000
2019-10-18,4.97,5.21,4.96,5.2,5.2,925600
2019-10-17,4.96,5.05,4.88,4.99,4.99,707000
2019-10-16,5.01,5.04,4.9,4.94,4.94,585500
2019-10-15,5.02,5.14,4.96,5.0,5.0,678400
2019-10-14,5.01,5.29,4.96,4.98,4.98,1151700
2019-10-11,5.01,5.1,4.92,4.98,4.98,700500
2019-10-10,4.93,5.05,4.87,4.98,4.98,676100
2019-10-09,4.84,5.03,4.81,4.9,4.9,755900
2019-10-08,4.82,4.89,4.74,4.82,4.82,375900
2019-10-07,4.78,4.92,4.72,4.85,4.85,497300
