Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,5.82,6.51,5.75,6.25,6.25,3510536
2020-04-17,6.93,6.96,5.95,5.96,5.96,5280200
2020-04-16,6.74,7.0,6.66,6.9,6.9,3850400
2020-04-15,6.34,6.72,6.02,6.58,6.58,2721300
2020-04-14,5.99,6.55,5.92,6.51,6.51,3800900
2020-04-13,5.69,5.91,5.62,5.87,5.87,1786400
2020-04-09,5.64,5.76,5.44,5.72,5.72,2113300
2020-04-08,5.68,5.8,5.48,5.52,5.52,1183700
2020-04-07,6.0,6.0,5.54,5.61,5.61,1325800
2020-04-06,5.72,5.89,5.68,5.89,5.89,1409400
2020-04-03,5.64,5.77,5.21,5.51,5.51,1545800
2020-04-02,5.62,5.7,5.47,5.65,5.65,1252300
2020-04-01,5.54,5.96,5.45,5.66,5.66,1599300
2020-03-31,5.71,6.02,5.54,5.7,5.7,2820200
2020-03-30,5.45,5.78,5.29,5.75,5.75,1989300
2020-03-27,4.8,5.44,4.5,5.25,5.25,2070500
2020-03-26,4.7,5.08,4.5,5.0,5.0,1651200
2020-03-25,4.91,5.1,4.59,4.68,4.68,1503200
2020-03-24,5.09,5.28,4.69,4.91,4.91,1394900
2020-03-23,4.49,4.87,4.49,4.81,4.81,1973700
2020-03-20,4.69,4.79,4.26,4.37,4.37,2553700
2020-03-19,3.96,4.71,3.86,4.68,4.68,2518200
2020-03-18,4.13,4.24,3.82,3.9,3.9,1461700
2020-03-17,3.66,4.57,3.51,4.43,4.43,1634700
2020-03-16,3.82,4.05,3.63,3.66,3.66,1104800
2020-03-13,4.0,4.22,3.86,4.22,4.22,1255400
2020-03-12,4.23,4.49,3.89,3.91,3.91,1458500
2020-03-11,4.6,4.71,4.34,4.47,4.47,996800
2020-03-10,4.7,4.77,4.53,4.71,4.71,937200
2020-03-09,4.64,4.82,4.47,4.53,4.53,967000
2020-03-06,4.92,5.24,4.86,5.01,5.01,941300
2020-03-05,4.94,5.09,4.86,4.97,4.97,1116700
2020-03-04,4.91,5.11,4.84,5.05,5.05,1597300
