Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,81.61,83.2,79.29,79.77,79.77,4114271
2020-04-17,85.3,85.63,82.29,84.26,84.26,5295200
2020-04-16,80.09,80.99,76.25,80.39,80.39,5330300
2020-04-15,78.02,81.99,77.53,80.73,80.73,4822700
2020-04-14,81.0,83.3,78.86,82.68,82.68,6093100
2020-04-13,81.56,81.57,75.71,78.09,78.09,4157800
2020-04-09,86.04,89.03,79.67,81.31,81.31,10343000
2020-04-08,75.24,83.94,74.96,82.53,82.53,9143600
2020-04-07,78.31,81.98,72.68,73.82,73.82,11850400
2020-04-06,64.55,70.9,63.78,70.59,70.59,12186100
2020-04-03,64.36,64.71,57.0,59.08,59.08,10622200
2020-04-02,69.29,70.59,61.55,63.0,63.0,8062700
2020-04-01,70.0,71.41,67.65,69.15,69.15,7651300
2020-03-31,74.98,79.24,74.52,74.81,74.81,5173600
2020-03-30,76.71,78.43,72.84,76.16,76.16,6097800
2020-03-27,78.7,82.79,76.25,78.85,78.85,5749800
2020-03-26,87.6,96.0,80.59,82.81,82.81,10444300
2020-03-25,83.51,92.68,79.23,85.25,85.25,8717900
2020-03-24,76.05,81.36,75.0,79.14,79.14,9113100
2020-03-23,75.02,80.7,67.28,70.13,70.13,12931800
2020-03-20,73.71,84.0,69.52,74.58,74.58,18154700
2020-03-19,61.18,72.7,52.65,66.8,66.8,17497700
2020-03-18,67.15,67.16,46.56,63.81,63.81,25881800
2020-03-17,87.52,89.61,67.74,75.24,75.24,12101600
2020-03-16,84.68,91.07,78.12,86.42,86.42,9327200
2020-03-13,98.23,100.78,91.6,95.61,95.61,8552800
2020-03-12,90.0,97.81,88.76,93.71,93.71,9065700
2020-03-11,106.2,106.5,99.56,100.11,100.11,8901300
2020-03-10,108.83,110.03,102.8,109.98,109.98,5395500
2020-03-09,102.0,108.92,101.76,104.19,104.19,6687400
2020-03-06,104.64,113.62,103.89,110.66,110.66,6790100
2020-03-05,113.79,115.0,108.8,110.22,110.22,6977200
2020-03-04,115.49,118.54,111.28,118.33,118.33,7343700
2020-03-03,122.76,123.74,113.88,114.28,114.28,6796500
2020-03-02,123.07,123.68,116.64,122.96,122.96,6375500
2020-02-28,116.25,124.33,116.0,124.0,124.0,6660800
2020-02-27,117.0,127.28,114.46,119.64,119.64,6958600
2020-02-26,126.29,127.67,119.85,120.19,119.71,4961200
2020-02-25,135.99,136.05,123.48,124.08,123.58,5128400
2020-02-24,136.82,137.38,134.22,134.83,134.29,3197500
2020-02-21,145.38,145.52,142.54,143.24,142.67,1858100
2020-02-20,147.53,148.91,146.27,146.84,146.25,1279600
2020-02-19,144.56,147.91,144.56,147.63,147.04,2018000
2020-02-18,144.23,145.86,144.23,144.94,144.36,2352800
2020-02-14,146.98,147.36,143.9,144.9,144.32,2441200
2020-02-13,149.45,149.53,146.66,146.72,146.13,1933900
2020-02-12,148.04,150.97,148.04,150.78,150.18,1583400
2020-02-11,145.87,148.95,145.22,147.19,146.6,1461300
2020-02-10,143.01,145.85,142.45,145.73,145.15,1169800
2020-02-07,144.91,145.4,142.78,144.07,143.49,1717600
