Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,11.41,12.08,11.11,11.56,11.56,2898947
2020-04-17,12.38,12.39,11.33,11.9,11.9,4672400
2020-04-16,12.13,12.32,11.0,11.26,11.26,4450700
2020-04-15,11.05,12.36,10.92,12.04,12.04,6998800
2020-04-14,14.46,14.73,12.0,12.23,12.23,18438800
2020-04-13,14.61,14.68,13.02,13.79,13.79,4624900
2020-04-09,13.97,15.8,13.76,14.68,14.68,7458200
2020-04-08,12.32,13.59,11.78,12.81,12.81,4981000
2020-04-07,13.3,14.19,11.55,11.99,11.99,7034900
2020-04-06,11.24,12.36,10.41,11.49,11.49,6367200
2020-04-03,10.71,10.95,9.63,10.2,10.2,6320300
2020-04-02,10.48,11.39,9.5,10.05,10.05,5833300
2020-04-01,11.77,12.43,10.1,10.7,10.7,5023700
2020-03-31,12.52,14.58,12.5,13.08,13.08,3419900
2020-03-30,14.05,14.4,12.16,12.39,12.39,4471000
2020-03-27,16.0,16.45,14.54,14.8,14.8,4572500
2020-03-26,14.83,17.8,14.0,17.31,17.31,7012000
2020-03-25,17.0,18.75,13.82,14.4,14.4,10036200
2020-03-24,11.66,17.3,11.55,15.65,15.65,15308000
2020-03-23,8.21,10.0,7.0,9.96,9.96,5150300
2020-03-20,9.4,9.9,7.5,7.76,7.76,6774500
2020-03-19,5.37,9.8,5.0,8.6,8.6,9802700
2020-03-18,6.19,7.0,4.61,4.87,4.87,5126600
2020-03-17,7.69,7.93,6.11,6.53,6.53,6235900
2020-03-16,10.21,10.7,7.11,7.2,7.2,4737900
2020-03-13,16.24,16.36,10.93,13.27,13.27,2960600
2020-03-12,14.85,15.23,13.11,15.0,15.0,3230900
2020-03-11,21.62,21.87,17.58,17.9,17.9,1708900
2020-03-10,24.46,24.95,19.79,22.7,22.7,1888100
2020-03-09,26.77,27.08,23.26,23.27,23.27,1207300
2020-03-06,29.59,29.66,28.05,29.33,29.33,1585500
2020-03-05,31.61,32.62,29.86,30.58,30.58,2106700
2020-03-04,31.42,34.16,29.93,32.77,32.77,2362700
2020-03-03,31.8,32.08,29.09,30.11,30.11,1525100
2020-03-02,33.21,33.43,30.94,31.69,31.69,1260600
2020-02-28,32.17,33.02,31.43,33.01,33.01,1415200
2020-02-27,36.51,37.22,32.99,33.13,33.13,1636600
2020-02-26,42.37,42.37,37.27,37.5,37.5,1245600
