Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,35.51,37.21,34.91,35.99,35.99,14945710
2020-04-17,37.11,37.61,35.0,37.39,37.39,23962200
2020-04-16,36.5,37.07,33.01,34.01,34.01,23934500
2020-04-15,35.02,37.85,34.4,36.98,36.98,22565500
2020-04-14,35.95,39.0,35.36,37.84,37.84,32458600
2020-04-13,36.32,36.7,33.25,33.37,33.37,34049200
2020-04-09,40.82,45.12,36.76,40.22,40.22,46354400
2020-04-08,34.88,37.8,33.65,37.56,37.56,28694300
2020-04-07,35.31,39.75,31.65,33.55,33.55,51068300
2020-04-06,26.8,30.21,25.85,29.61,29.61,33519300
2020-04-03,25.71,26.21,22.25,24.39,24.39,26467300
2020-04-02,25.5,27.95,23.95,24.82,24.82,29239400
2020-04-01,30.3,30.86,25.6,25.77,25.77,24415500
2020-03-31,28.64,35.65,28.3,32.17,32.17,26187400
2020-03-30,32.31,32.63,28.1,29.77,29.77,25443700
2020-03-27,37.51,37.53,32.8,34.5,34.5,31129200
2020-03-26,42.83,49.87,37.85,40.61,40.61,35085100
2020-03-25,40.5,45.45,34.71,42.41,42.41,32761400
2020-03-24,34.5,39.59,32.14,34.47,34.47,28057200
2020-03-23,24.03,29.32,22.77,28.19,28.19,20278800
2020-03-20,24.45,28.1,22.0,23.81,23.81,22221500
2020-03-19,21.76,24.15,20.55,22.41,22.41,17031500
2020-03-18,26.02,26.3,19.25,22.33,22.33,24554800
2020-03-17,31.22,31.44,26.83,27.66,27.66,18129200
2020-03-16,29.9,35.48,29.28,29.94,29.94,25379100
2020-03-13,37.01,37.34,28.61,32.33,32.33,27483000
2020-03-12,34.0,39.56,29.01,30.27,30.27,28866300
2020-03-11,48.56,51.0,41.2,44.37,44.37,23724700
2020-03-10,51.03,52.7,40.2,51.67,51.67,30322600
2020-03-09,56.23,56.3,47.36,48.27,48.27,19180300
2020-03-06,62.7,70.33,60.36,65.01,65.01,16949000
2020-03-05,75.03,75.92,64.18,65.78,65.78,16079000
2020-03-04,79.95,80.15,75.32,79.36,78.58,10264600
2020-03-03,81.76,81.94,76.78,78.19,77.42,7591300
2020-03-02,81.5,81.51,76.78,80.56,79.77,7890200
2020-02-28,73.92,81.36,73.48,80.41,79.62,9940200
2020-02-27,79.51,80.57,70.5,77.0,76.24,14785900
2020-02-26,90.44,90.98,81.82,82.34,81.53,9748000
2020-02-25,97.78,98.36,89.29,89.55,88.67,5906100
2020-02-24,99.95,101.0,96.39,96.61,95.66,7476900
2020-02-21,108.84,109.06,105.15,106.11,105.07,3352400
2020-02-20,110.87,110.99,109.42,109.8,108.72,2867900
2020-02-19,111.21,112.27,110.67,111.01,109.92,2531900
2020-02-18,112.49,112.76,110.71,111.41,110.31,2977800
2020-02-14,113.35,113.62,112.44,113.16,112.05,2555700
2020-02-13,115.5,115.98,113.43,113.62,112.5,3140500
2020-02-12,114.57,118.03,114.46,117.23,116.08,3994700
2020-02-11,111.06,113.98,110.25,113.06,111.95,3238600
2020-02-10,110.78,111.18,109.52,109.7,108.62,2737600
2020-02-07,113.37,114.31,110.52,111.55,110.45,5071200
2020-02-06,118.91,120.3,116.6,116.67,115.52,2518700
2020-02-05,119.5,120.82,117.61,118.26,117.1,2455000
2020-02-04,121.97,122.1,116.71,118.0,116.84,3308000
2020-02-03,116.36,119.37,114.26,116.45,115.31,3064500
2020-01-31,119.71,120.6,116.68,117.08,115.93,2020100
2020-01-30,115.5,120.11,115.49,119.7,118.52,4088500
2020-01-29,121.48,123.82,120.74,121.64,120.44,2121300
