Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,27.93,28.67,26.69,27.79,27.79,36611998
2020-04-17,29.9,30.11,28.86,29.08,29.08,26729800
2020-04-16,30.35,30.49,27.92,28.21,28.21,43569700
2020-04-15,31.97,32.6,29.88,31.86,31.86,46775200
2020-04-14,30.52,32.21,30.38,30.9,30.9,28650600
2020-04-13,32.63,32.7,27.59,28.91,28.91,36493700
2020-04-09,29.92,34.04,29.57,31.5,31.5,54118500
2020-04-08,25.65,27.54,24.51,27.51,27.51,32657700
2020-04-07,28.2,28.69,23.72,24.48,24.48,43809300
2020-04-06,23.9,24.8,21.8,24.02,24.02,32386700
2020-04-03,24.22,24.94,21.56,22.89,22.89,28350300
2020-04-02,25.24,26.09,23.0,23.42,23.42,25212800
2020-04-01,29.51,29.69,25.36,25.65,25.65,27541600
2020-03-31,31.31,33.6,30.58,31.55,31.55,16568800
2020-03-30,30.69,31.8,28.0,30.16,30.16,18386400
2020-03-27,35.02,35.2,32.03,32.84,32.84,18379600
2020-03-26,38.38,39.78,34.53,35.55,35.55,29563600
2020-03-25,38.0,39.47,33.29,36.6,36.6,32988800
2020-03-24,31.99,34.15,30.01,33.0,33.0,31502500
2020-03-23,25.97,26.6,23.37,26.25,26.25,25585800
2020-03-20,23.37,30.74,22.2,24.5,24.5,37408000
2020-03-19,21.34,23.99,18.09,21.28,21.28,31611200
2020-03-18,28.81,28.97,17.8,21.38,21.38,35372700
2020-03-17,36.49,38.14,30.05,30.67,30.67,21078900
2020-03-16,34.34,39.37,30.38,35.47,35.47,28259500
2020-03-13,41.33,42.49,34.0,41.64,41.64,24135300
2020-03-12,42.77,44.31,37.01,37.08,37.08,19423600
2020-03-11,50.53,51.23,48.05,49.34,49.34,10899400
2020-03-10,51.0,54.33,46.62,52.56,52.56,15642900
2020-03-09,49.59,50.99,45.92,46.78,46.78,12307600
2020-03-06,48.61,56.0,48.26,52.1,52.1,16492200
2020-03-05,57.11,57.16,50.93,51.59,51.59,13974700
2020-03-04,59.51,59.74,56.32,59.47,59.47,10671200
2020-03-03,63.14,63.53,57.96,58.29,58.29,9208800
2020-03-02,61.13,61.27,57.04,61.26,61.26,13015200
2020-02-28,62.85,64.88,60.83,61.59,61.59,9958000
2020-02-27,62.9,69.02,61.2,64.94,64.94,10257100
2020-02-26,71.75,71.91,65.89,66.53,66.53,9363900
2020-02-25,75.76,76.18,70.32,70.57,70.57,8076200
2020-02-24,75.08,76.02,73.65,75.47,75.47,6332900
2020-02-21,79.4,79.4,77.32,78.01,78.01,4541400
2020-02-20,79.3,81.67,79.3,79.91,79.91,2893900
2020-02-19,80.94,80.94,79.19,79.42,79.42,3350300
2020-02-18,79.0,80.63,78.65,80.24,80.24,4183400
2020-02-14,81.02,81.44,79.4,79.55,79.55,3119700
2020-02-13,81.0,81.74,80.37,80.99,80.99,2998800
2020-02-12,81.08,82.6,81.0,82.2,82.2,2907100
2020-02-11,80.02,81.45,79.94,80.53,80.53,2763600
2020-02-10,78.95,79.61,77.78,79.47,79.47,3492700
2020-02-07,80.0,80.24,78.65,79.48,79.48,3129700
2020-02-06,82.4,82.72,79.79,80.5,80.5,5218800
2020-02-05,80.76,82.36,80.05,81.85,81.85,6993700
2020-02-04,76.64,79.53,76.5,78.89,78.89,6423900
2020-02-03,75.49,77.12,74.88,74.91,74.91,3951400
2020-01-31,77.17,77.29,74.52,74.8,74.8,5196600
2020-01-30,74.66,77.98,74.44,77.75,77.75,5900400
2020-01-29,77.4,77.49,75.01,75.21,75.21,5508200
2020-01-28,78.25,78.47,77.0,77.05,77.05,7575600
2020-01-27,78.0,78.46,76.55,77.63,77.63,8671300
2020-01-24,84.31,84.73,80.28,81.9,81.9,6869800
2020-01-23,83.0,85.17,81.06,84.88,84.88,6194300
2020-01-22,86.75,87.57,83.15,83.34,83.34,8453200
2020-01-21,87.88,88.0,84.57,85.79,85.79,9546700
2020-01-17,89.8,90.1,88.96,89.7,89.7,4221100
2020-01-16,88.79,89.72,88.78,89.54,89.54,2427500
2020-01-15,87.61,88.8,87.25,88.29,88.29,1878900
2020-01-14,88.17,89.64,87.71,87.85,87.85,3243500
2020-01-13,87.31,87.67,86.7,86.89,86.89,2707600
2020-01-10,88.04,88.26,86.97,87.31,87.31,2035700
2020-01-09,87.72,88.72,87.5,87.95,87.95,2252200
2020-01-08,86.9,88.45,86.3,87.3,87.3,4152500
2020-01-07,87.41,88.16,86.74,86.77,86.77,2581300
2020-01-06,86.72,88.07,86.65,87.7,87.7,2652700
2020-01-03,86.8,88.16,86.26,87.9,87.9,3562900
2020-01-02,89.57,90.57,89.11,89.74,89.74,2769800
2019-12-31,87.71,88.46,87.71,88.09,88.09,2073700
2019-12-30,88.51,88.86,87.51,87.96,87.96,1799900
2019-12-27,89.31,89.39,88.01,88.37,88.37,1402100
2019-12-26,89.3,89.72,88.8,89.26,89.26,1039700
2019-12-24,89.46,89.63,88.66,89.15,89.15,771100
2019-12-23,89.72,90.1,89.28,89.44,89.44,1905900
2019-12-20,89.37,89.9,89.05,89.28,89.28,3025900
2019-12-19,89.28,89.78,89.05,89.22,89.22,2172500
2019-12-18,89.5,89.98,88.36,88.84,88.84,1876900
2019-12-17,88.57,89.99,88.35,89.36,89.36,2218400
2019-12-16,87.95,89.46,87.95,88.63,88.63,2090200
2019-12-13,88.2,89.43,87.42,87.58,87.58,1972800
2019-12-12,87.7,89.9,87.32,88.47,88.47,2903600
2019-12-11,86.47,87.15,86.08,87.02,87.02,2418200
2019-12-10,87.58,87.92,86.36,86.51,86.51,1994800
2019-12-09,88.49,88.58,87.3,87.61,87.61,2160900
2019-12-06,88.79,89.5,88.55,88.58,88.58,1485300
2019-12-05,89.1,89.33,87.6,87.86,87.86,1959700
2019-12-04,89.16,89.81,88.13,88.17,88.17,2072400
2019-12-03,90.6,90.78,88.5,88.87,88.87,3352800
2019-12-02,93.0,93.62,91.44,91.63,91.63,1941600
2019-11-29,92.8,93.49,92.51,92.8,92.8,905800
2019-11-27,93.06,93.67,92.77,93.05,93.05,1602200
2019-11-26,92.48,92.92,92.02,92.76,92.76,2042400
2019-11-25,92.11,93.13,91.55,92.52,92.52,1941700
2019-11-22,91.1,91.94,90.94,91.78,91.78,1440400
2019-11-21,91.88,92.11,90.77,90.97,90.97,1630900
2019-11-20,92.75,93.46,90.85,91.7,91.7,3133900
2019-11-19,93.13,93.72,92.42,93.29,93.29,1606400
2019-11-18,92.45,92.79,91.45,92.77,92.77,1808700
2019-11-15,93.0,93.5,92.32,92.51,92.51,1552700
2019-11-14,92.75,92.95,91.9,92.52,92.52,1051800
2019-11-13,92.62,92.98,92.04,92.42,92.42,1822600
2019-11-12,93.44,93.88,92.66,92.72,92.72,1542000
2019-11-11,92.85,93.82,92.67,93.53,93.53,1127100
2019-11-08,93.81,93.86,92.61,93.44,93.44,914900
2019-11-07,94.0,95.16,93.56,93.8,93.8,3014100
2019-11-06,93.42,93.6,92.58,93.34,93.34,1179300
2019-11-05,92.63,93.62,92.46,93.12,93.12,2624000
2019-11-04,92.31,92.96,92.03,92.39,92.39,1905900
2019-11-01,91.65,92.52,91.29,91.65,91.65,2248300
2019-10-31,91.12,91.4,90.41,90.84,90.84,1997500
2019-10-30,91.05,91.89,90.41,91.67,91.67,1694800
2019-10-29,91.88,92.38,90.9,91.03,91.03,1552300
2019-10-28,91.83,92.8,91.78,92.19,92.19,1841000
2019-10-25,89.68,91.84,89.67,91.64,91.64,2218100
