Ticker,Weekly % Change,Monthly % Change,RSI,Golden Cross,Actual Signal
F,-0.06,-0.045,60.488,-1,True
GE,-0.034,-0.087,59.945,-1,True
DIS,-0.027,-0.046,54.015,-1,True
AAL,-0.02,-0.182,61.639,-1,True
DAL,0.019,-0.129,56.442,-1,True
ACB,-0.066,-0.041,58.197,-1,False
GPRO,0.003,-0.077,45.663,-1,True
CCL,0.105,-0.098,41.704,-1,False
MSFT,0.028,-0.002,45.179,1,True
AAPL,0.035,-0.002,45.557,1,True
FIT,0.001,0.025,44.737,1,False
NCLH,0.262,-0.12,42.242,-1,False
BAC,-0.023,-0.047,53.704,-1,True
PLUG,-0.091,-0.022,54.945,1,True
SNAP,0.011,-0.029,35.045,-1,True
BA,0.022,-0.068,55.345,-1,True
UAL,0.01,-0.146,62.877,-1,True
INO,-0.18,-0.067,35.545,1,False
CGC,-0.102,-0.016,47.896,-1,False
UBER,-0.088,-0.094,51.499,-1,True
TSLA,-0.047,-0.026,44.831,1,True
RCL,0.048,-0.115,44.947,-1,False
CRON,-0.093,-0.017,53.881,-1,False
AMD,-0.07,0.003,56.018,1,True
TWTR,-0.059,-0.016,49.075,-1,True
FB,0.095,0.003,29.787,-1,True
GRPN,-0.081,-0.066,33.333,-1,True
MRNA,0.051,0.098,28.733,1,True
BABA,-0.062,-0.057,63.365,1,True
SBUX,-0.075,-0.063,53.246,-1,True
MRO,0.198,-0.051,30.303,-1,False
ZNGA,-0.035,-0.009,43.781,1,True
T,-0.031,-0.029,59.897,-1,True
AMZN,-0.025,-0.064,47.954,1,True
KO,-0.035,-0.016,68.034,-1,True
APHA,-0.048,-0.008,52.299,-1,False
USO,0.123,0.029,84.57,-1,True
SAVE,0.053,-0.141,55.147,-1,False
LUV,-0.053,-0.118,76.981,-1,False
XOM,0.021,-0.034,44.476,-1,True
JBLU,0.062,-0.115,55.363,-1,True
MFA,0.006,-0.057,57.031,-1,False
MGM,-0.03,-0.122,51.395,-1,True
GM,-0.076,-0.069,60.072,-1,True
NIO,0.031,-0.021,41.538,1,True
UCO,0.207,0.025,84.999,-1,True
AMC,0.28,-0.126,25.576,-1,False
NFLX,0.016,0.02,44.555,1,True
PENN,0.012,-0.124,47.635,-1,True
SPCE,-0.068,-0.053,60.829,1,True
NRZ,0.092,-0.005,41.905,-1,True
TLRY,-0.089,-0.05,43.052,-1,True
NVDA,-0.019,-0.003,46.694,1,True
VOO,-0.012,-0.024,50.241,-1,True
VSLR,0.01,-0.055,47.722,-1,True
NOK,0.026,-0.008,40.0,-1,True
GILD,0.004,-0.045,46.647,1,False
GUSH,0.177,-0.077,29.869,-1,True
CPRX,0.012,0.046,34.595,-1,False
LYFT,-0.212,-0.177,57.418,-1,True
HAL,0.126,-0.045,33.562,-1,True
SPY,-0.012,-0.024,50.176,-1,True
V,0.026,-0.014,48.677,-1,True
NKE,-0.041,-0.016,53.729,-1,True
SRNE,-0.07,0.048,60.937,-1,True
SIRI,0.025,-0.027,39.07,-1,True
SQ,0.002,-0.022,47.713,-1,True
WORK,-0.004,0.019,43.188,1,True
PFE,-0.019,-0.019,41.799,-1,False
KOS,0.364,0.0,19.355,-1,False
OXY,0.097,-0.065,47.373,-1,False
BYND,-0.045,-0.039,35.615,-1,True
VTIQ,-0.088,-0.012,41.441,1,True
JPM,-0.026,-0.038,54.58,-1,True
IVR,-0.004,-0.076,68.05,-1,False
ET,0.119,-0.037,26.723,-1,False
WFC,-0.037,-0.059,61.1,-1,False
CRBP,0.055,0.003,40.741,-1,True
PLAY,-0.124,-0.231,54.302,-1,True
ERI,-0.068,-0.117,45.632,-1,True
NYMT,-0.033,-0.069,54.745,-1,False
SPHD,-0.021,-0.039,55.506,-1,True
VKTX,-0.019,0.101,39.189,-1,True
BP,-0.044,-0.023,54.553,-1,True
TXMD,0.52,-0.057,31.579,-1,False
NTDOY,-0.044,0.016,52.805,-1,False
WMT,-0.036,0.018,61.365,1,False
GOOGL,0.041,-0.018,41.854,-1,True
ZM,-0.129,0.061,49.206,1,True
FCEL,-0.172,-0.025,38.732,1,True
PTON,0.067,0.076,44.93,1,True
DKNG,0.075,0.079,17.635,1,True
ATVI,-0.005,0.047,40.904,1,True
SNE,-0.024,-0.036,48.019,-1,True
CSCO,-0.04,-0.024,56.288,-1,True
INTC,-0.025,-0.033,56.07,1,True
AUY,0.025,0.045,23.881,1,True
VTI,-0.012,-0.024,49.295,-1,True
GLUU,-0.033,0.023,27.778,1,True
